House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Mars,,Mercury Venus Rahu,Sun,,,,Moon,Ketu,,Jupiter,Saturn
Mars,Venus Rahu,Mercury,Sun,,,Moon,Ketu,,,Jupiter,Saturn
,Venus Rahu,Sun Mercury,,,,Moon,Ketu,,Jupiter,Saturn,Mars
Venus Rahu,Mercury,Sun,,,Moon,Ketu,,,Jupiter,Saturn,Mars
Venus Rahu,Sun Mercury,,,,Moon,Ketu,,,Jupiter Saturn,,Mars
Mercury,Sun,,,,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu
Sun Mercury,,,,Moon,Ketu,,,Jupiter,Saturn,Mars,Venus Rahu
Sun,,,,Moon Ketu,,,Jupiter,Saturn,Mars,Rahu,Mercury Venus
,,,Moon,Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Sun Mercury
,,,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun
,,Moon,Ketu,,,Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury,
,Moon,Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,
,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,
Moon,Ketu,,Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,
Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,
,,Jupiter,Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Moon Ketu
,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu
,Jupiter,Saturn,Mars,,Mercury Venus Rahu,Sun,,,,Moon,Ketu
,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu,
Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,,Moon,Ketu,
Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu,,
Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury,,,,Moon,Ketu,,
Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Moon Ketu,,,Jupiter
Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu,,,Jupiter
Mars,Rahu,Mercury Venus,Sun,,,,Moon Ketu,,,Jupiter,Saturn
Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu,,,Jupiter,Saturn
,Venus Rahu,Sun Mercury,,,,Moon,Ketu,,Jupiter,Saturn,Mars
Venus Rahu,Mercury,Sun,,,,Moon Ketu,,,Jupiter,Saturn,Mars
Venus Rahu,Sun Mercury,,,,,Moon Ketu,,,Jupiter Saturn,,Mars
Mercury,Sun,,,,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu
Sun Mercury,,,,,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu
Sun,,,,Moon Ketu,,,Jupiter,Saturn,Mars,Rahu,Mercury Venus
,,,,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Sun Mercury
,,,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun
,,,Moon Ketu,,,Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury,
,,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,
,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,
,Moon Ketu,,Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,
Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,
,,Jupiter,Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Moon Ketu
,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu
,Jupiter,Saturn,Mars,,Mercury Venus Rahu,Sun,,,,,Moon Ketu
,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu,
Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,,,Moon Ketu,
Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu,,
Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury,,,,,Moon Ketu,,
Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Moon Ketu,,,Jupiter
Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu,,,Jupiter
Mars,Rahu,Mercury Venus,Sun,,,,Ketu,Moon,,Jupiter,Saturn
Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu,,,Jupiter,Saturn
,Venus Rahu,Sun Mercury,,,,,Moon Ketu,,Jupiter,Saturn,Mars
Venus Rahu,Mercury,Sun,,,,Moon Ketu,,,Jupiter,Saturn,Mars
Venus Rahu,Sun Mercury,,,,,Moon Ketu,,,Jupiter Saturn,,Mars
Mercury,Sun,,,,Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu
Sun Mercury,,,,,Moon Ketu,,,Jupiter Saturn,,Mars,Venus Rahu
Sun,,,,Ketu,Moon,,Jupiter,Saturn,Mars,Rahu,Mercury Venus
,,,,Moon Ketu,,,Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury
,,,Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun
,,,Moon Ketu,,Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,
,,Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,
,Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,
,Moon Ketu,,Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,
Moon Ketu,,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,
Moon,,Jupiter,Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu
,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Moon Ketu
,Jupiter,Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu,Moon
,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,Moon
Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,,,Moon Ketu,
Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,Moon,
Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury,,,,,Moon Ketu,,
Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu,Moon,,Jupiter
Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,Moon,,Jupiter
Mars,Rahu,Mercury Venus,Sun,,,,Ketu,Moon,,Jupiter,Saturn
Mars,Venus Rahu,Mercury,Sun,,,,Ketu,Moon,,Jupiter,Saturn
,Venus Rahu,Sun Mercury,,,,,Moon Ketu,,Jupiter,Saturn,Mars
Venus Rahu,Mercury,Sun,,,,Ketu,Moon,,Jupiter,Saturn,Mars
Venus Rahu,Sun Mercury,,,,,Moon Ketu,,Jupiter,Saturn,,Mars
Mercury,Sun,,,,Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu
Sun Mercury,,,,,Ketu,Moon,,Jupiter Saturn,,Mars,Venus Rahu
Sun,,,,Ketu,Moon,,Jupiter,Saturn,Mars,Rahu,Mercury Venus
,,,,Ketu,Moon,,Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury
,,,Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun
,,,Moon Ketu,,Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,
,,Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,
,Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,
,Moon Ketu,,Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,
Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,
Moon,,Jupiter,Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu
Moon,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu
,Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu,Moon
,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,Moon
Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,,,Ketu,Moon
Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,Moon,
Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury,,,,,Ketu,Moon,
Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu,Moon,,Jupiter
,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,Moon,,Jupiter Saturn
Mars,Rahu,Mercury Venus,Sun,,,,Ketu,,Moon,Jupiter,Saturn
Mars,Venus Rahu,Mercury,Sun,,,,Ketu,Moon,,Jupiter,Saturn
,Venus Rahu,Sun Mercury,,,,,Ketu,Moon,Jupiter,Saturn,Mars
Venus Rahu,Mercury,Sun,,,,Ketu,Moon,,Jupiter,Saturn,Mars
Venus Rahu,Sun Mercury,,,,,Ketu,Moon,Jupiter,Saturn,,Mars
Mercury,Sun,,,,Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu
Sun Mercury,,,,,Ketu,Moon,,Jupiter Saturn,,Mars,Venus Rahu
Sun,,,,Ketu,,Moon,Jupiter,Saturn,Mars,Rahu,Mercury Venus
,,,,Ketu,Moon,,Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury
,,,Ketu,,Moon,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun
,,,Ketu,Moon,Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,
,,Ketu,Moon,,Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,
,Ketu,,Moon,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,
Ketu,,Moon,Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,
Ketu,Moon,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,
,Moon,Jupiter,Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu
Moon,,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu
Moon,Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu,
Moon,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,
Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,,,Ketu,Moon
Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,Moon
Saturn,,Mars,Venus Rahu,Sun Mercury,,,,,Ketu,Moon,Jupiter
Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu,,Moon,Jupiter
,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,Moon,,Jupiter Saturn
Mars,Rahu,Mercury Venus,Sun,,,,Ketu,,Moon,Jupiter,Saturn
Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,Moon,Jupiter,Saturn
Rahu,Venus,Sun Mercury,,,,Ketu,,Moon,Jupiter,Saturn,Mars
Venus Rahu,Mercury,Sun,,,,Ketu,,Moon,Jupiter,Saturn,Mars
Venus Rahu,Sun Mercury,,,,,Ketu,Moon,Jupiter,Saturn,,Mars
Mercury Venus,Sun,,,,Ketu,,Moon,Jupiter,Saturn,Mars,Rahu
Sun Mercury,,,,,Ketu,,Moon,Jupiter Saturn,,Mars,Venus Rahu
Sun,,,,Ketu,,Moon,Jupiter,Saturn,Mars,Rahu,Mercury Venus
,,,,Ketu,,Moon,Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury
,,,Ketu,,Moon,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun
,,,Ketu,Moon,Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,
,,Ketu,,Moon,Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,
,Ketu,,Moon,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,
Ketu,,Moon,Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,
Ketu,,Moon,Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,,,
,Moon,Jupiter,Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu
,Moon,Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,,,,Ketu
Moon,Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu,
Moon,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,
Moon Jupiter,Saturn,Mars,,Venus Rahu,Sun Mercury,,,,,Ketu,
Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,Moon
Saturn,,Mars,Venus Rahu,Sun Mercury,,,,,Ketu,,Moon Jupiter
Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu,,Moon,Jupiter
,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,Moon,Jupiter Saturn
Mars,Rahu,Venus,Sun Mercury,,,,Ketu,,Moon,Jupiter,Saturn
Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,Moon,Jupiter,Saturn
Rahu,Venus,Sun Mercury,,,,Ketu,,,Moon Jupiter,Saturn,Mars
Venus Rahu,Mercury,Sun,,,,Ketu,,Moon,Jupiter,Saturn,Mars
Venus Rahu,Sun Mercury,,,,,Ketu,,Moon Jupiter,Saturn,Mars,
Mercury Venus,Sun,,,,Ketu,,Moon,Jupiter,Saturn,Mars,Rahu
Sun Mercury,,,,,Ketu,,Moon,Jupiter Saturn,,Mars,Venus Rahu
Sun,,,,Ketu,,,Moon Jupiter,Saturn,Mars,Rahu,Mercury Venus
,,,,Ketu,,Moon,Jupiter Saturn,,Mars,Venus Rahu,Sun Mercury
,,,Ketu,,Moon,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun
,,Ketu,,,Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,
,,Ketu,,Moon,Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,
,Ketu,,Moon,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,
Ketu,,,Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,
Ketu,,Moon,Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,,,
,,Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu
,Moon,Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,,,,Ketu
,Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu,
Moon,Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,
Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu,,
Moon Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,
Saturn,,Mars,Venus Rahu,Sun Mercury,,,,,Ketu,,Moon Jupiter
Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu,,,Moon Jupiter
,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,Moon,Jupiter Saturn
Mars,Rahu,Venus,Sun Mercury,,,,Ketu,,,Moon Jupiter,Saturn
Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,,Moon Jupiter Saturn,
Rahu,Venus,Sun Mercury,,,,Ketu,,,Moon Jupiter,Saturn,Mars
Venus Rahu,Mercury,Sun,,,,Ketu,,,Moon Jupiter,Saturn,Mars
Venus Rahu,Sun Mercury,,,,,Ketu,,Moon Jupiter,Saturn,Mars,
Mercury Venus,Sun,,,,Ketu,,,Moon Jupiter,Saturn,Mars,Rahu
Sun Mercury,,,,,Ketu,,Moon Jupiter,Saturn,,Mars,Venus Rahu
Sun,,,,Ketu,,,Moon Jupiter,Saturn,Mars,Rahu,Mercury Venus
,,,,Ketu,,Moon Jupiter,Saturn,,Mars,Venus Rahu,Sun Mercury
,,,Ketu,,,Moon Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun
,,Ketu,,,Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,
,,Ketu,,,Moon Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,
,Ketu,,,Moon Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,
Ketu,,,Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,
Ketu,,,Moon Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,,,
,,Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu
,,Moon Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,,,,Ketu
,Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu,
,Moon Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,
Moon Jupiter,Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu,,
Moon Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,
Moon Saturn,,Mars,Venus Rahu,Sun Mercury,,,,,Ketu,,Jupiter
Saturn,Mars,Rahu,Mercury Venus,Sun,,,,Ketu,,,Moon Jupiter
,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,,Moon Jupiter Saturn
Mars,Rahu,Venus,Sun Mercury,,,,Ketu,,,Moon Jupiter,Saturn
Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,,Moon Jupiter Saturn,
Rahu,Venus,Sun Mercury,,,,Ketu,,,Jupiter,Moon Saturn,Mars
Venus Rahu,Mercury,Sun,,,,Ketu,,,Moon Jupiter,Saturn,Mars
Venus Rahu,Sun Mercury,,,,,Ketu,,Jupiter,Moon Saturn,Mars,
Mercury Venus,Sun,,,,Ketu,,,Moon Jupiter,Saturn,Mars,Rahu
Sun Mercury,,,,,Ketu,,Jupiter,Moon Saturn,,Mars,Venus Rahu
Sun,,,,Ketu,,,Moon Jupiter,Saturn,Mars,Rahu,Mercury Venus
,,,,Ketu,,Jupiter,Moon Saturn,,Mars,Venus Rahu,Sun Mercury
,,,Ketu,,,Moon Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun
,,Ketu,,,Jupiter,Moon Saturn,Mars,Rahu,Venus,Sun Mercury,
,,Ketu,,Jupiter,Moon Saturn,,Mars,Venus Rahu,Mercury,Sun,
,Ketu,,,Moon Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,
Ketu,,,Jupiter,Moon Saturn,Mars,Rahu,Venus,Sun Mercury,,,
Ketu,,,Moon Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,,,
,,Jupiter,Moon Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu
,,Moon Jupiter Saturn,,Mars,Venus Rahu,Mercury,Sun,,,,Ketu
,Jupiter,Moon Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu,
,Moon Jupiter,Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,
Jupiter,Moon Saturn,Mars,Rahu,Venus,Sun Mercury,,,,Ketu,,
Jupiter,Moon Saturn,Mars,Venus Rahu,Mercury,Sun,,,,Ketu,,
Moon Saturn,,Mars,Venus Rahu,Sun Mercury,,,,,Ketu,,Jupiter
