House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Ketu,Venus,Sun Mercury Jupiter,Moon Mars,,,Rahu,,,,Saturn
Ketu,,Venus,Sun Moon Mercury Mars Jupiter,,,Rahu,,,,Saturn,
Ketu,Venus,Sun Jupiter,Moon Mercury Mars,,,Rahu,,,,Saturn,
,Venus,Sun Moon Mercury Mars Jupiter,,,Rahu,,,,,Saturn,Ketu
Venus,Sun Jupiter,Moon Mercury Mars,,,Rahu,,,,Saturn,,Ketu
Venus,Sun Mercury Mars Jupiter,Moon,,,Rahu,,,,Saturn,,Ketu
Sun Venus Jupiter,Moon Mercury Mars,,,Rahu,,,,Saturn,,Ketu,
Sun Mercury Jupiter,Moon Mars,,,Rahu,,,,Saturn,,Ketu,Venus
Moon Mercury Mars,,,Rahu,,,,Saturn,,Ketu,,Sun Venus Jupiter
Moon,,,Rahu,,,,Saturn,,Ketu,Venus,Sun Mercury Mars Jupiter
,,Rahu,,,,Saturn,,Ketu,Venus,Sun Jupiter,Moon Mercury Mars
,Rahu,,,,Saturn,,Ketu,,Venus,Sun Moon Mercury Mars Jupiter,
,Rahu,,,,Saturn,,Ketu,Venus,Sun Mercury Mars Jupiter,Moon,
Rahu,,,,Saturn,,Ketu,Venus,Sun Jupiter,Moon Mercury Mars,,
,,,Saturn,,Ketu,,Venus,Sun Moon Mercury Mars Jupiter,,,Rahu
,,,Saturn,,Ketu,Venus,Sun Mercury Jupiter,Moon Mars,,,Rahu
,,Saturn,,Ketu,,Venus,Sun Moon Mercury Mars Jupiter,,,Rahu,
,,Saturn,,Ketu,Venus,Sun Mercury Jupiter,Moon Mars,,,Rahu,
,,Saturn,Ketu,,Venus,Sun Moon Mercury Mars Jupiter,,,Rahu,,
,Saturn,,Ketu,Venus,Sun Jupiter,Moon Mercury Mars,,,Rahu,,
,Saturn,,Ketu,Venus,Sun Mercury Mars Jupiter,Moon,,,Rahu,,
Saturn,,Ketu,,Sun Venus Jupiter,Moon Mercury Mars,,,Rahu,,,
Saturn,,Ketu,Venus,Sun Mercury Jupiter,Moon Mars,,,Rahu,,,
,Ketu,,Venus Jupiter,Sun Moon Mercury Mars,,,Rahu,,,,Saturn
