House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Mars,,Sun Moon Mercury,Venus,Rahu,,,,Saturn,,Jupiter Ketu
Mars,,Mercury,Sun Moon Venus,,Rahu,,,,Saturn,,Jupiter Ketu
Mars,,Sun Mercury,Moon Venus,Rahu,,,,Saturn,,Jupiter Ketu,
,,Sun Moon Mercury Venus,,Rahu,,,,Saturn,,Jupiter Ketu,Mars
,Sun Mercury,Moon Venus,,Rahu,,,Saturn,,Jupiter,Ketu,Mars
,Sun Moon Mercury,Venus,Rahu,,,,Saturn,,Jupiter Ketu,Mars,
Sun Mercury,Moon Venus,,Rahu,,,,Saturn,Jupiter,Ketu,Mars,
Sun Moon Mercury,Venus,Rahu,,,,Saturn,,Jupiter Ketu,,Mars,
Moon Venus,,Rahu,,,,Saturn,Jupiter,Ketu,Mars,,Sun Mercury
Venus,Rahu,,,,Saturn,,Jupiter Ketu,Mars,,,Sun Moon Mercury
Rahu,,,,Saturn,,Jupiter Ketu,,Mars,,Sun Mercury,Moon Venus
Rahu,,,,Saturn,,Jupiter Ketu,Mars,,Mercury,Sun Moon Venus,
,,,Saturn,,Jupiter Ketu,Mars,,,Sun Moon Mercury,Venus,Rahu
,,Saturn,,Jupiter Ketu,,Mars,,Sun Mercury,Moon Venus,Rahu,
,,Saturn,,Jupiter Ketu,Mars,,Mercury,Sun Moon Venus,,Rahu,
,Saturn,,Jupiter Ketu,,Mars,,Sun Mercury,Moon Venus,Rahu,,
,Saturn,,Jupiter Ketu,Mars,,Mercury,Sun Moon Venus,,Rahu,,
Saturn,,Jupiter Ketu,,Mars,,Sun Mercury,Moon Venus,Rahu,,,
Saturn,,Jupiter Ketu,Mars,,Mercury,Sun Moon Venus,,Rahu,,,
,Jupiter Ketu,,Mars,,Sun Mercury,Moon Venus,Rahu,,,,Saturn
,Jupiter Ketu,Mars,,,Sun Mercury Venus,Moon,Rahu,,,,Saturn
Jupiter,Ketu,Mars,,Sun Mercury,Moon Venus,,Rahu,,,Saturn,
Jupiter Ketu,Mars,,,Sun Mercury,Moon Venus,Rahu,,,,Saturn,
Ketu,Mars,,Mercury,Sun Moon Venus,,Rahu,,,,Saturn,Jupiter
,Mars,,Sun Mercury,Moon Venus,Rahu,,,,Saturn,,Jupiter Ketu
Mars,,Mercury,Sun Moon Venus,,Rahu,,,,Saturn,,Jupiter Ketu
Mars,,Sun Mercury,Moon Venus,Rahu,,,,Saturn,,Jupiter Ketu,
,,Sun Mercury Venus,Moon,Rahu,,,,Saturn,,Jupiter Ketu,Mars
,Sun Mercury,Moon Venus,Rahu,,,,Saturn,,Jupiter Ketu,,Mars
