House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Moon,,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Ketu,Mars
,Moon,,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Mars Ketu,
Moon,,Sun Mercury,Venus Rahu,,Jupiter,,,Saturn,Ketu,Mars,
Moon,,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Mars Ketu,,
,Sun,Mercury Venus Rahu,,Jupiter,,,Saturn,Ketu,Mars,,Moon
,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Ketu,Mars,,Moon
Sun,Mercury Venus Rahu,,Jupiter,,,,Saturn Ketu,Mars,,,Moon
Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Ketu,Mars,,Moon,
Mercury Venus Rahu,,Jupiter,,,,Saturn Ketu,Mars,,,Moon,Sun
Venus Rahu,Jupiter,,,,Saturn,Ketu,Mars,,Moon,,Sun Mercury
,Jupiter,,,Saturn,Ketu,Mars,,Moon,,Sun,Mercury Venus Rahu
Jupiter,,,,Saturn,Mars Ketu,,,Moon,,Sun Mercury,Venus Rahu
,,,Saturn,Ketu,Mars,,Moon,,Sun Mercury,Venus Rahu,Jupiter
,,Saturn,Ketu,Mars,,Moon,,Sun,Mercury Venus Rahu,,Jupiter
,,Saturn,Mars Ketu,,,Moon,,Sun Mercury,Venus Rahu,Jupiter,
,Saturn,Ketu,Mars,,Moon,,Sun Mercury,Venus Rahu,Jupiter,,
,Saturn,Mars Ketu,,,Moon,,Sun Mercury Venus,Rahu,Jupiter,,
Saturn,Ketu,Mars,,Moon,,Sun Mercury,Venus Rahu,,Jupiter,,
Saturn,Mars Ketu,,,Moon,,Sun Mercury,Venus Rahu,Jupiter,,,
Ketu,Mars,,,Moon,Sun,Mercury Venus Rahu,,Jupiter,,,Saturn
Mars Ketu,,,Moon,,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn
Mars,,,Moon,Sun,Mercury Venus Rahu,,Jupiter,,,Saturn,Ketu
Mars,,Moon,,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Ketu
,,Moon,,Sun Mercury Venus Rahu,,Jupiter,,,,Saturn Ketu,Mars
,Moon,,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Ketu,Mars
,Moon,,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Mars Ketu,
,Moon,Sun,Mercury Venus Rahu,,Jupiter,,,Saturn,Ketu,Mars,
Moon,,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Mars Ketu,,
Moon,Sun,Mercury Venus Rahu,,Jupiter,,,Saturn,Ketu,Mars,,
,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Ketu,Mars,,Moon
Sun,Mercury Venus Rahu,,Jupiter,,,,Saturn Ketu,Mars,,,Moon
Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Ketu,Mars,,,Moon
Mercury Venus Rahu,,Jupiter,,,,Saturn Ketu,Mars,,,Moon,Sun
Venus Rahu,Jupiter,,,,Saturn,Ketu,Mars,,Moon,,Sun Mercury
,Jupiter,,,Saturn,Ketu,Mars,,,Moon,Sun,Mercury Venus Rahu
Jupiter,,,,Saturn,Mars Ketu,,,Moon,,Sun Mercury,Venus Rahu
,,,Saturn,Ketu,Mars,,,Moon,Sun Mercury,Venus Rahu,Jupiter
,,Saturn,Ketu,Mars,,,Moon,Sun,Mercury Venus Rahu,,Jupiter
,,Saturn,Mars Ketu,,,Moon,,Sun Mercury,Venus Rahu,Jupiter,
,Saturn,Ketu,Mars,,,Moon,Sun Mercury,Venus Rahu,Jupiter,,
,Saturn,Mars Ketu,,,Moon,,Sun Mercury Venus,Rahu,Jupiter,,
Saturn,Ketu,Mars,,,Moon,Sun Mercury,Venus Rahu,,Jupiter,,
Saturn,Mars Ketu,,,Moon,,Sun Mercury,Venus Rahu,Jupiter,,,
Ketu,Mars,,,Moon,Sun,Mercury Venus Rahu,,Jupiter,,,Saturn
Mars Ketu,,,,Moon,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn
Mars,,,Moon,Sun,Mercury Venus Rahu,,Jupiter,,,Saturn,Ketu
Mars,,,Moon,Sun Mercury,Venus Rahu,Jupiter,,,,Saturn,Ketu
