House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Mars Rahu,,,Sun Mercury Venus,Moon Jupiter Saturn,,Ketu,,,,,
Rahu,,,Sun Moon Mercury Venus Saturn,Jupiter,,Ketu,,,,,Mars
Rahu,,Sun Venus,Moon Mercury Jupiter Saturn,,,Ketu,,,,,Mars
,,Sun Moon Mercury Venus Saturn,Jupiter,,Ketu,,,,,,Mars Rahu
,Sun,Moon Mercury Venus Saturn,Jupiter,,Ketu,,,,,Mars,Rahu
,Sun Mercury Venus,Moon Jupiter Saturn,,Ketu,,,,,,Mars Rahu,
Sun,Moon Mercury Venus Saturn,Jupiter,,Ketu,,,,,Mars,Rahu,
Sun Mercury Venus,Moon Jupiter Saturn,,Ketu,,,,,,Mars Rahu,,
Moon Mercury Venus Saturn,Jupiter,,Ketu,,,,,Mars,Rahu,,Sun
Moon Jupiter Saturn,,Ketu,,,,,,Mars Rahu,,,Sun Mercury Venus
Jupiter,,Ketu,,,,,Mars,Rahu,,Sun,Moon Mercury Venus Saturn
,Ketu,,,,,Mars,Rahu,,,Sun Moon Mercury Venus Saturn,Jupiter
Ketu,,,,,,Mars Rahu,,,Sun Mercury Venus,Moon Jupiter Saturn,
Ketu,,,,,Mars,Rahu,,Sun,Moon Mercury Venus Saturn,Jupiter,
,,,,Mars,Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu
,,,,Mars Rahu,,,Sun Mercury Venus,Moon Jupiter Saturn,,Ketu,
,,,Mars,Rahu,,,Sun Moon Mercury Venus Saturn,Jupiter,,Ketu,
,,,Mars Rahu,,,Sun Mercury Venus,Moon Jupiter Saturn,,Ketu,,
,,,Mars Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu,,
,,Mars,Rahu,,Sun,Moon Mercury Venus Saturn,Jupiter,,Ketu,,
,,Mars Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu,,,
,Mars,Rahu,,Sun,Moon Mercury Venus Saturn,Jupiter,,Ketu,,,
,Mars Rahu,,,Sun Mercury Venus,Moon Jupiter Saturn,,Ketu,,,,
Mars,Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu,,,,
Mars Rahu,,,Sun Mercury Venus,Moon Jupiter Saturn,,Ketu,,,,,
Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu,,,,,Mars
Rahu,,Sun Venus,Moon Mercury Jupiter Saturn,,,Ketu,,,,,Mars
,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu,,,,,,Mars Rahu
,Sun,Moon Mercury Venus Saturn,Jupiter,,Ketu,,,,,Mars,Rahu
,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu,,,,,,Mars Rahu,
Sun,Mercury Venus Saturn,Moon Jupiter,,Ketu,,,,,Mars,Rahu,
Sun Mercury Venus,Moon Jupiter Saturn,,Ketu,,,,,,Mars Rahu,,
Mercury Venus Saturn,Moon Jupiter,,Ketu,,,,,Mars,Rahu,,Sun
Moon Jupiter,,Ketu,,,,,,Mars Rahu,,,Sun Mercury Venus Saturn
Jupiter,,Ketu,,,,,Mars,Rahu,,Sun,Moon Mercury Venus Saturn
,Ketu,,,,,Mars,Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter
Ketu,,,,,,Mars Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,
Ketu,,,,,Mars,Rahu,,Sun,Moon Mercury Venus Jupiter Saturn,,
,,,,Mars,Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu
,,,,Mars Rahu,,,Sun Mercury Venus,Moon Jupiter Saturn,,Ketu,
,,,Mars,Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu,
,,,Mars Rahu,,,Sun Venus,Moon Mercury Jupiter Saturn,,Ketu,,
,,,Mars Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu,,
,,Mars,Rahu,,Sun,Mercury Venus Saturn,Moon Jupiter,,Ketu,,
,,Mars Rahu,,,Sun Mercury Venus Saturn,Moon Jupiter,,Ketu,,,
,Mars,Rahu,,Sun,Mercury Venus Saturn,Moon Jupiter,,Ketu,,,
