House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Jupiter,,Venus Saturn Rahu,Sun Moon,Mercury,,Mars,,Ketu,,,
,Rahu,Venus Saturn,Sun Moon Mercury,,,Mars,Ketu,,,,Jupiter
,Venus Saturn Rahu,Sun Moon,Mercury,,Mars,,Ketu,,,,Jupiter
Rahu,Venus Saturn,Sun Moon Mercury,,,Mars,Ketu,,,,Jupiter,
Venus Saturn Rahu,Sun Moon,Mercury,,Mars,,Ketu,,,,Jupiter,
Venus Saturn,Sun Moon Mercury,,,Mars,Ketu,,,,,Jupiter,Rahu
Sun Moon Venus,Mercury,,,Mars,Ketu,,,,Jupiter,,Saturn Rahu
Sun Moon,Mercury,,Mars,,Ketu,,,,Jupiter,,Venus Saturn Rahu
Mercury,,,Mars,Ketu,,,,Jupiter,,Saturn Rahu,Sun Moon Venus
,,Mars,Ketu,,,,,Jupiter,Rahu,Venus Saturn,Sun Moon Mercury
,Mars,,Ketu,,,,Jupiter,,Venus Saturn Rahu,Sun Moon,Mercury
,Mars,Ketu,,,,Jupiter,,Rahu,Venus Saturn,Sun Moon Mercury,
Mars,Ketu,,,,,Jupiter,Rahu,Venus Saturn,Sun Moon Mercury,,
,Ketu,,,,Jupiter,,Venus Saturn Rahu,Sun Moon,Mercury,,Mars
Ketu,,,,Jupiter,,Rahu,Venus Saturn,Sun Moon Mercury,,,Mars
Ketu,,,,Jupiter,,Venus Saturn Rahu,Sun Moon,Mercury,,Mars,
,,,Jupiter,,Rahu,Venus Saturn,Sun Moon Mercury,,,Mars,Ketu
,,,Jupiter,,Venus Saturn Rahu,Sun Moon,Mercury,,Mars,,Ketu
,,Jupiter,,Rahu,Venus Saturn,Sun Moon Mercury,,,Mars,Ketu,
,,Jupiter,,Venus Saturn Rahu,Sun Moon,Mercury,,Mars,,Ketu,
,,Jupiter,Rahu,Venus Saturn,Sun Moon Mercury,,,Mars,Ketu,,
,Jupiter,,Saturn Rahu,Sun Venus,Moon Mercury,,Mars,,Ketu,,
,Jupiter,Rahu,Venus Saturn,Sun Moon,Mercury,,Mars,Ketu,,,
Jupiter,,Saturn Rahu,Venus,Sun Moon Mercury,,,Mars,Ketu,,,
Jupiter,,Venus Saturn Rahu,Sun Moon,Mercury,,Mars,,Ketu,,,
,Rahu,Venus Saturn,Sun Moon Mercury,,,Mars,Ketu,,,,Jupiter
,Venus Saturn Rahu,Sun Moon,Mercury,,Mars,,Ketu,,,,Jupiter
Rahu,Venus Saturn,Sun Moon Mercury,,,Mars,Ketu,,,,Jupiter,
Saturn Rahu,Sun Venus,Moon Mercury,,Mars,,Ketu,,,,Jupiter,
Venus Saturn,Sun Moon Mercury,,,Mars,Ketu,,,,,Jupiter,Rahu
Sun Venus,Moon Mercury,,,Mars,Ketu,,,,Jupiter,,Saturn Rahu
Sun Moon,Mercury,,Mars,,Ketu,,,,Jupiter,,Venus Saturn Rahu
Moon Mercury,,,Mars,Ketu,,,,Jupiter,,Saturn Rahu,Sun Venus
,,Mars,Ketu,,,,,Jupiter,Rahu,Venus Saturn,Sun Moon Mercury
,Mars,,Ketu,,,,Jupiter,,Venus Saturn Rahu,Sun,Moon Mercury
,Mars,Ketu,,,,Jupiter,,Rahu,Venus Saturn,Sun Moon Mercury,
Mars,Ketu,,,,,Jupiter,Rahu,Venus Saturn,Sun Moon Mercury,,
,Ketu,,,,Jupiter,,Venus Saturn Rahu,Sun,Moon Mercury,,Mars
Ketu,,,,Jupiter,,Rahu,Venus Saturn,Sun Moon Mercury,,,Mars
Ketu,,,,Jupiter,,Venus Saturn Rahu,Sun,Moon Mercury,,Mars,
