House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Ketu,Moon,Sun Mercury,Venus Mars,,,Jupiter Rahu,Saturn,,,
,Moon Ketu,,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,
Ketu,Moon,Sun Mercury,Venus Mars,,,Rahu,Jupiter Saturn,,,,
Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,
Moon,Sun Mercury,Mars,Venus,,Rahu,Jupiter Saturn,,,,,Ketu
Moon,Sun Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun Mercury,Mars,Venus,,,Jupiter Saturn Rahu,,,,,,Moon Ketu
Sun Mercury,Venus Mars,,,Jupiter Rahu,Saturn,,,,,Ketu,Moon
Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,,Moon Ketu,Sun
Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury
Venus,,Rahu,Jupiter Saturn,,,,,Ketu,Moon,Sun Mercury,Mars
,,Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury Mars,Venus
,Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury,Venus Mars,
Rahu,Jupiter Saturn,,,,,Ketu,Moon,Sun Mercury,Venus Mars,,
Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury Mars,Venus,,
Saturn,,,,,Ketu,Moon,Sun Mercury,Venus Mars,,,Jupiter Rahu
,,,,,Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu
,,,,Ketu,Moon,Sun Mercury,Venus Mars,,,Jupiter Rahu,Saturn
,,,,Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,
,,,Ketu,Moon,Sun Mercury,Venus Mars,,,Rahu,Jupiter Saturn,
,,,Ketu,Moon,Sun Mercury,Venus Mars,,,Jupiter Saturn Rahu,,
,,,Ketu,Sun Moon Mercury,Mars,Venus,,,Jupiter Saturn Rahu,,
,,Ketu,Moon,Sun Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,
,,Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,
,Ketu,Moon,Sun Mercury,Venus Mars,,,Jupiter Rahu,Saturn,,,
,Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,
Ketu,Moon,Sun Mercury,Venus Mars,,,Rahu,Jupiter Saturn,,,,
Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,
,Sun Moon Mercury,Mars,Venus,,Rahu,Jupiter Saturn,,,,,Ketu
Moon,Sun Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun Moon,Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun Mercury,Venus Mars,,,Jupiter Rahu,Saturn,,,,,Ketu,Moon
Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,,Ketu,Sun Moon
Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury
Venus,,Rahu,Jupiter Saturn,,,,,Ketu,,Sun Moon Mercury,Mars
,,Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury Mars,Venus
,Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury,Venus Mars,
Rahu,Jupiter Saturn,,,,,Ketu,,Sun Moon Mercury,Venus Mars,,
Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury Mars,Venus,,
Saturn,,,,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu
,,,,,Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu
,,,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu,Saturn
,,,,Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,
,,,Ketu,,Sun Moon Mercury,Venus Mars,,,Rahu,Jupiter Saturn,
,,,Ketu,Moon,Sun Mercury,Venus Mars,,,Jupiter Saturn Rahu,,
,,Ketu,,Sun Moon Mercury,Mars,Venus,,Rahu,Jupiter Saturn,,
,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,
,,Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,
,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu,Saturn,,,
,Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,
Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu,Saturn,,,,
Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,
,Sun Moon Mercury,Mars,Venus,,Rahu,Jupiter Saturn,,,,,Ketu
,Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun Moon,Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,
Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,,Ketu,Sun Moon
Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Moon Mercury
Venus,,Rahu,Jupiter Saturn,,,,,Ketu,,Sun Moon Mercury,Mars
,,Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury Mars,Venus
,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Moon Mercury,Venus Mars,
Jupiter Rahu,Saturn,,,,,Ketu,,Sun Moon Mercury,Venus Mars,,
Jupiter Saturn Rahu,,,,,,Ketu,Moon,Sun Mercury Mars,Venus,,
Saturn,,,,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu
,,,,,Ketu,Moon,Sun Mercury Mars,Venus,,,Jupiter Saturn Rahu
,,,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu,Saturn
,,,,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,
,,,Ketu,,Sun Moon Mercury,Mars,Venus,,Rahu,Jupiter Saturn,
,,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,
,,Ketu,,Sun Moon Mercury,Mars,Venus,,Rahu,Jupiter Saturn,,
,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,
,,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,
,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu,Saturn,,,
,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,
Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu,Saturn,,,,
Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,
,Sun Moon Mercury,Mars,Venus,,Rahu,Jupiter Saturn,,,,,Ketu
,Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun,Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,
Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,,Ketu,Sun
Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Moon Mercury
Venus,,Rahu,Jupiter Saturn,,,,,Ketu,,Sun Moon Mercury,Mars
,,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Moon Mercury Mars,Venus
,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Moon Mercury,Venus Mars,
Jupiter Rahu,Saturn,,,,,Ketu,,Sun Moon Mercury,Venus Mars,,
Jupiter Saturn Rahu,,,,,,Ketu,,Sun Moon Mercury Mars,Venus,,
Saturn,,,,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu
,,,,,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu
,,,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Rahu,Saturn
,,,,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,
,,,Ketu,,Sun Mercury,Moon Mars,Venus,,Rahu,Jupiter Saturn,
,,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,
,,Ketu,,Sun,Moon Mercury Mars,Venus,,Rahu,Jupiter Saturn,,
,,Ketu,,Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,
,,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,
,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Rahu,Saturn,,,
,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,
Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Rahu,Saturn,,,,
Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,,,
,Sun Mercury,Moon Mars,Venus,,Rahu,Jupiter Saturn,,,,,Ketu
,Sun Moon Mercury,Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun,Moon Mercury Mars,Venus,,Rahu,Jupiter Saturn,,,,,Ketu,
Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,
Moon Mercury Mars,Venus,,Rahu,Jupiter Saturn,,,,,Ketu,,Sun
Moon Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury
Venus,,Jupiter Rahu,Saturn,,,,,Ketu,,Sun Mercury,Moon Mars
,,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Moon Mercury Mars,Venus
,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury,Moon Venus Mars,
Jupiter Rahu,Saturn,,,,,Ketu,,Sun Mercury,Moon Venus Mars,,
Jupiter Saturn Rahu,,,,,,Ketu,,Sun Moon Mercury Mars,Venus,,
,,,,,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu
,,,,,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu
,,,,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Rahu,Saturn
,,,,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,
,,,Ketu,,Sun Mercury,Moon Mars,Venus,,Jupiter Rahu,Saturn,
,,,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,
,,Ketu,,Sun,Moon Mercury Mars,Venus,,Rahu,Jupiter Saturn,,
,,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,,
,,Ketu,,Sun Moon Mercury Mars,Venus,,,Jupiter Saturn Rahu,,,
,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,,,
,Ketu,,Sun Mercury Mars,Moon Venus,,,Jupiter Saturn Rahu,,,,
Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Rahu,Saturn,,,,
Ketu,,Sun Mercury Mars,Moon Venus,,,Jupiter Saturn Rahu,,,,,
,Sun Mercury,Moon Mars,Venus,,Rahu,Jupiter Saturn,,,,,Ketu
,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun,Moon Mercury Mars,Venus,,Rahu,Jupiter Saturn,,,,,Ketu,
Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,
Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,,,,Ketu,,Sun
Moon Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury
Venus,,Jupiter Rahu,Saturn,,,,,Ketu,,Sun Mercury,Moon Mars
,Rahu,Jupiter Saturn,,,,,Ketu,,,Sun Mercury Mars,Moon Venus
,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury,Moon Venus Mars,
Jupiter Rahu,Saturn,,,,,Ketu,,Sun Mercury,Moon Venus Mars,,
Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury Mars,Moon Venus,,
,,,,,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu
,,,,,Ketu,,Sun Mercury Mars,Moon Venus,,,Jupiter Saturn Rahu
,,,,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Rahu,Saturn
,,,,Ketu,,Sun Mercury Mars,Moon Venus,,,Jupiter Saturn Rahu,
,,,Ketu,,Sun Mercury,Mars,Moon Venus,,Jupiter Rahu,Saturn,
,,,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,
,,Ketu,,Sun,Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,
,,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,,
,Ketu,,,Sun Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,,
,Ketu,,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,,,
,Ketu,,Sun Mercury Mars,Moon Venus,,,Jupiter Saturn Rahu,,,,
Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Rahu,Saturn,,,,
Ketu,,Sun Mercury Mars,Moon Venus,,,Jupiter Saturn Rahu,,,,,
,Sun,Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,,,,Ketu
,Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu
Sun,Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,,,,Ketu,
Sun Mercury,Moon Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,
Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,,,,Ketu,,Sun
Moon Venus Mars,,,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury
Moon,,Jupiter Rahu,Saturn,,,,,Ketu,,Sun Mercury,Venus Mars
,Rahu,Jupiter Saturn,,,,,Ketu,,,Sun Mercury Mars,Moon Venus
,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury Mars,Moon Venus,
Jupiter Rahu,Saturn,,,,,Ketu,,Sun Mercury,Venus Mars,Moon,
Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury Mars,Moon Venus,,
,,,,,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu
,,,,,Ketu,,Sun Mercury Mars,Moon Venus,,,Jupiter Saturn Rahu
,,,,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,
,,,,Ketu,,Sun Mercury Mars,Moon Venus,,,Jupiter Saturn Rahu,
,,,Ketu,,Sun Mercury,Mars,Moon Venus,,Jupiter Rahu,Saturn,
,,,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,
,,Ketu,,Sun,Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,
,,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,,
,Ketu,,,Sun Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,,
,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,,,
,Ketu,,Sun Mercury Mars,Moon Venus,,,Jupiter Saturn Rahu,,,,
Ketu,,Sun Mercury,Mars,Moon Venus,,Jupiter Rahu,Saturn,,,,
Ketu,,Sun Mercury Mars,Venus,Moon,,Jupiter Saturn Rahu,,,,,
,Sun,Mercury Mars,Moon Venus,,Jupiter Rahu,Saturn,,,,,Ketu
,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,,,,,Ketu
Sun,Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,,,,Ketu,
Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,,,,,Ketu,
Mercury Mars,Moon Venus,,Rahu,Jupiter Saturn,,,,,Ketu,,Sun
Venus Mars,Moon,,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury
Moon,,Jupiter Rahu,Saturn,,,,,Ketu,,Sun Mercury,Venus Mars
,Rahu,Jupiter Saturn,,,,,Ketu,,,Sun Mercury Mars,Moon Venus
,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury Mars,Venus,Moon
Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury,Venus Mars,Moon,
Jupiter Saturn,,,,,Ketu,,,Sun Mercury Mars,Venus,Moon,Rahu
,,,,,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu
,,,,Ketu,,,Sun Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn
,,,,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,
,,,,Ketu,,Sun Mercury Mars,Venus,Moon,,Jupiter Saturn Rahu,
,,,Ketu,,Sun Mercury,Mars,Moon Venus,,Jupiter Rahu,Saturn,
,,,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,
,,Ketu,,Sun,Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn,,
,,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,,
,Ketu,,,Sun Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn,,,
,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,,,
,Ketu,,Sun Mercury Mars,Venus,Moon,,Jupiter Saturn Rahu,,,,
Ketu,,Sun Mercury,Mars,Moon Venus,,Jupiter Rahu,Saturn,,,,
Ketu,,Sun Mercury Mars,Venus,Moon,,Jupiter Saturn Rahu,,,,,
,Sun,Mercury Mars,Venus,Moon,Jupiter Rahu,Saturn,,,,,Ketu
,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,,,,,Ketu
Sun,Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn,,,,,Ketu,
Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,,,,,Ketu,
Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn,,,,,Ketu,,Sun
Venus Mars,Moon,,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury
,Moon,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury,Venus Mars
Moon,Rahu,Jupiter Saturn,,,,,Ketu,,,Sun Mercury Mars,Venus
,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury Mars,Venus,Moon
Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury,Venus Mars,,Moon
Jupiter Saturn,,,,,Ketu,,,Sun Mercury Mars,Venus,Moon,Rahu
,,,,,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu
,,,,Ketu,,,Sun Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn
,,,,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,
,,,,Ketu,,Sun Mercury Mars,Venus,Moon,,Jupiter Saturn Rahu,
,,,Ketu,,Sun Mercury,Mars,Venus,Moon,Jupiter Rahu,Saturn,
,,,Ketu,,Sun Mercury,Venus Mars,Moon,,Jupiter Saturn Rahu,,
,,Ketu,,Sun,Mercury Mars,Venus,Moon,Jupiter Rahu,Saturn,,
,,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,,
,Ketu,,,Sun Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn,,,
,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,,,
Ketu,,,Sun Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn,,,,
Ketu,,Sun Mercury,Mars,Venus,Moon,Jupiter Saturn Rahu,,,,,
Ketu,,Sun Mercury Mars,Venus,,Moon,Jupiter Saturn Rahu,,,,,
,Sun,Mercury Mars,Venus,Moon,Jupiter Rahu,Saturn,,,,,Ketu
,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,,,,,Ketu
Sun,Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn,,,,,Ketu,
Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,,,,,Ketu,
Mercury Mars,Venus,Moon,Rahu,Jupiter Saturn,,,,,Ketu,,Sun
Venus,,Moon,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury Mars
,Moon,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury,Venus Mars
Moon,Rahu,Jupiter Saturn,,,,,Ketu,,Sun,Mercury Mars,Venus
Moon,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury Mars,Venus,
Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury,Venus Mars,,Moon
Jupiter Saturn,,,,,Ketu,,,Sun Mercury Mars,Venus,,Moon Rahu
,,,,,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu
,,,,Ketu,,,Sun Mercury Mars,Venus,,Moon Rahu,Jupiter Saturn
,,,,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,
,,,,Ketu,,Sun Mercury Mars,Venus,,Moon,Jupiter Saturn Rahu,
,,,Ketu,,Sun,Mercury Mars,Venus,Moon,Jupiter Rahu,Saturn,
,,,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,
,,Ketu,,Sun,Mercury Mars,Venus,Moon,Jupiter Rahu,Saturn,,
,,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,,
,Ketu,,,Sun Mercury Mars,Venus,,Moon Rahu,Jupiter Saturn,,,
,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,,,
Ketu,,,Sun Mercury Mars,Venus,,Moon Rahu,Jupiter Saturn,,,,
Ketu,,Sun Mercury,Mars,Venus,Moon,Jupiter Saturn Rahu,,,,,
Ketu,,Sun Mercury Mars,Venus,,Moon,Jupiter Saturn Rahu,,,,,
,Sun,Mercury Mars,Venus,,Moon Jupiter Rahu,Saturn,,,,,Ketu
,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,,,,,Ketu
Sun,Mercury Mars,Venus,,Moon Rahu,Jupiter Saturn,,,,,Ketu,
Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,,,,,Ketu,
Mercury Mars,Venus,,Moon Jupiter Rahu,Saturn,,,,,Ketu,,Sun
Venus,,Moon,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury Mars
,Moon,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury,Venus Mars
,Moon Jupiter Rahu,Saturn,,,,,Ketu,,Sun,Mercury Mars,Venus
Moon,Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury Mars,Venus,
Jupiter Saturn Rahu,,,,,,Ketu,,Sun Mercury,Venus Mars,,Moon
Jupiter Saturn,,,,,Ketu,,,Sun Mercury Mars,Venus,,Moon Rahu
,,,,,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu
,,,,Ketu,,,Sun Mercury Mars,Venus,,Moon Rahu,Jupiter Saturn
,,,,Ketu,,Sun Mercury,Venus Mars,,,Moon Jupiter Saturn Rahu,
,,,,Ketu,,Sun Mercury Mars,Venus,,Moon,Jupiter Saturn Rahu,
,,,Ketu,,Sun,Mercury Mars,Venus,,Moon Jupiter Saturn Rahu,,
,,,Ketu,,Sun Mercury,Venus Mars,,Moon,Jupiter Saturn Rahu,,
,,Ketu,,Sun,Mercury Mars,Venus,,Moon Jupiter Rahu,Saturn,,
