House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Mars,,Sun Mercury Ketu,,Moon Venus,,,Jupiter Saturn,Rahu,,
Mars,,,Sun Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,
Mars,,Sun Mercury Ketu,,Moon Venus,,,Jupiter Saturn,Rahu,,,
Mars,,Sun Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,,
,Sun Mercury,Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,,Mars
,Sun Mercury Ketu,Venus,Moon,,Saturn,Jupiter,Rahu,,,,Mars
Sun,Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,,Mars,
Sun Mercury Ketu,,Moon Venus,,Saturn,Jupiter,Rahu,,,,Mars,
Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,,Mars,,Sun
Venus,Moon,,Saturn,Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu
Venus,Moon,,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,
Moon,,Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus
,Saturn,Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu,Venus,Moon
,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,Moon
Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,Moon,
Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,,Moon Venus,,
,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,Moon,,Jupiter Saturn
Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn
Rahu,,,Mars,,,Sun Mercury Ketu,Venus,Moon,,Jupiter Saturn,
,,,Mars,,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn,Rahu
,,,Mars,,Sun Mercury Ketu,Venus,Moon,,Saturn,Jupiter,Rahu
,,Mars,,Sun,Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu
,,Mars,,Sun Mercury Ketu,,Moon Venus,,Saturn,Jupiter,Rahu,
,Mars,,,Sun Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,
,Mars,,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn,Rahu,,
Mars,,,Sun Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,
Mars,,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn,Rahu,,,
Mars,,Sun Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,,
,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn,Rahu,,,,Mars
,Sun Mercury Ketu,Venus,,Moon,Saturn,Jupiter,Rahu,,,,Mars
Sun,Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,,Mars,
Sun Mercury Ketu,,Venus,Moon,Saturn,Jupiter,Rahu,,,,Mars,
Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,,Mars,,Sun
Venus,,Moon,Saturn,Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu
Venus,Moon,,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,
Moon,,Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus
Moon,Saturn,Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu,Venus,
,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,Moon
Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,Moon,
Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,Moon,Saturn
,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,Moon,,Jupiter Saturn
Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn
Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,
,,,Mars,,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn,Rahu
,,,Mars,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu
,,Mars,,Sun,Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu
,,Mars,,Sun Mercury Ketu,,Venus,Moon,Saturn,Jupiter,Rahu,
,Mars,,,Sun Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,
,Mars,,Sun Mercury Ketu,,Venus,Moon,Saturn,Jupiter,Rahu,,
Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,,
Mars,,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn,Rahu,,,
Mars,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,,,
,Sun Ketu,Mercury,Venus,Moon,,Jupiter Saturn,Rahu,,,,Mars
,Sun Mercury Ketu,Venus,,Moon,Saturn,Jupiter,Rahu,,,,Mars
Sun,Mercury Ketu,Venus,Moon,,Jupiter Saturn,,Rahu,,,Mars,
Sun Mercury Ketu,,Venus,Moon,Saturn,Jupiter,Rahu,,,,Mars,
Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,,,Mars,,Sun
Venus,,Moon,Saturn,Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu
Venus,Moon,,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,
,Moon,Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus
Moon,Saturn,Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu,Venus,
,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,Moon
Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,Moon
Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,Moon,Saturn
,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn
Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn
Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,
,,,Mars,,Sun Mercury Ketu,,Venus,,Moon,Jupiter Saturn,Rahu
,,,Mars,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu
,,Mars,,Sun Ketu,Mercury,Venus,,Moon,Jupiter Saturn,Rahu,
,,Mars,,Sun Mercury Ketu,,Venus,Moon,Saturn,Jupiter,Rahu,
,Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,
,Mars,,Sun Mercury Ketu,,Venus,Moon,Saturn,Jupiter,Rahu,,
Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,,
Mars,,Sun Mercury Ketu,,Venus,,Moon,Jupiter Saturn,Rahu,,,
Mars,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,,,
,Sun Ketu,Mercury,Venus,,Moon,Jupiter Saturn,Rahu,,,,Mars
,Sun Mercury Ketu,Venus,,Moon,Saturn,Jupiter,Rahu,,,,Mars
Sun,Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,,,Mars,
Sun Mercury Ketu,,Venus,Moon,Saturn,Jupiter,Rahu,,,,Mars,
Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,,,Mars,,Sun
Venus,,Moon,Saturn,Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu
Venus,,Moon,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,
,Moon,Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus
Moon,Jupiter Saturn,,Rahu,,,,Mars,,Sun Mercury Ketu,Venus,
Moon,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,
Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,Moon
Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn
,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn
Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn,Jupiter
Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,
,,,Mars,,Sun Mercury Ketu,,Venus,,Moon,Jupiter Saturn,Rahu
,,,Mars,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu
,,Mars,,Sun Ketu,Mercury,Venus,,Moon,Jupiter Saturn,Rahu,
,,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn,Jupiter,Rahu,
,Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,
,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn,Jupiter,Rahu,,
Mars,,,Sun Mercury Ketu,Venus,,Moon,Jupiter Saturn,,Rahu,,
Mars,,Sun Mercury Ketu,,Venus,,Moon,Jupiter Saturn,Rahu,,,
Mars,,Sun Mercury Ketu,Venus,,,Moon Jupiter Saturn,,Rahu,,,
,Sun Ketu,Mercury,Venus,,Moon,Jupiter Saturn,Rahu,,,,Mars
,Sun Mercury Ketu,Venus,,,Moon Jupiter Saturn,,Rahu,,,,Mars
Sun Ketu,Mercury,Venus,,Moon,Jupiter Saturn,Rahu,,,,Mars,
Sun Mercury Ketu,,Venus,,Moon Saturn,Jupiter,Rahu,,,,Mars,
Mercury,Venus,,Moon,Jupiter Saturn,Rahu,,,,Mars,,Sun Ketu
Venus,,,Moon Jupiter Saturn,,Rahu,,,,Mars,,Sun Mercury Ketu
Venus,,Moon,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,
,Moon,Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus
,Moon Jupiter Saturn,,Rahu,,,,Mars,,Sun Mercury Ketu,Venus,
Moon,Jupiter Saturn,Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,
Moon Jupiter Saturn,,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,
Jupiter,Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn
,Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,,Moon Jupiter Saturn
Rahu,,,,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn,Jupiter
Rahu,,,Mars,,,Sun Mercury Ketu,Venus,,,Moon Jupiter Saturn,
,,,Mars,,Sun Mercury Ketu,,Venus,,Moon,Jupiter Saturn,Rahu
,,,Mars,,Sun Mercury Ketu,Venus,,,Moon Jupiter Saturn,,Rahu
,,Mars,,Sun Ketu,Mercury,Venus,,,Moon Jupiter Saturn,Rahu,
,,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn,Jupiter,Rahu,
,Mars,,,Sun Mercury Ketu,Venus,,,Moon Jupiter Saturn,,Rahu,
,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn,Jupiter,Rahu,,
Mars,,,Sun Mercury Ketu,Venus,,,Moon Jupiter Saturn,,Rahu,,
