House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Ketu,,Sun Moon Venus Mars Saturn,Mercury,,,Rahu,Jupiter,,,
,Ketu,Venus Mars Saturn,Sun Moon Mercury,,,,Rahu,Jupiter,,,
Ketu,,Sun Moon Venus Mars Saturn,Mercury,,,Rahu,Jupiter,,,,
Ketu,Venus Mars,Sun Moon Mercury Saturn,,,,Rahu,Jupiter,,,,
,Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,,,,Ketu
,Sun Moon Venus Mars Saturn,Mercury,,,Rahu,Jupiter,,,,,Ketu
Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,,,,Ketu,
Sun Moon Venus Mars Saturn,Mercury,,,Rahu,Jupiter,,,,,Ketu,
Moon Mercury,,,Rahu,Jupiter,,,,,Ketu,,Sun Venus Mars Saturn
Mercury,,,Rahu,Jupiter,,,,,Ketu,,Sun Moon Venus Mars Saturn
,,Rahu,Jupiter,,,,,Ketu,,Sun Venus Mars Saturn,Moon Mercury
,,Rahu,Jupiter,,,,,Ketu,Venus Mars Saturn,Sun Moon Mercury,
,Rahu,Jupiter,,,,,Ketu,,Sun Moon Venus Mars Saturn,Mercury,
Rahu,Jupiter,,,,,Ketu,,Sun Venus Mars Saturn,Moon Mercury,,
Rahu,Jupiter,,,,,Ketu,Venus Mars Saturn,Sun Moon Mercury,,,
Jupiter,,,,,Ketu,,Sun Venus Mars Saturn,Moon Mercury,,,Rahu
,,,,,Ketu,Venus Mars Saturn,Sun Moon Mercury,,,,Jupiter Rahu
,,,,Ketu,,Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter
,,,,Ketu,Venus Mars Saturn,Sun Moon Mercury,,,,Rahu,Jupiter
,,,Ketu,,Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,
,,,Ketu,,Sun Moon Mercury Venus Mars Saturn,,,,Rahu,Jupiter,
,,Ketu,,Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,
,,Ketu,,Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,
,Ketu,,Venus Mars Saturn,Sun Moon Mercury,,,Rahu,Jupiter,,,
,Ketu,,Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,,
,Ketu,Venus Mars Saturn,Sun Moon Mercury,,,,Rahu,Jupiter,,,
Ketu,,Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,,,
Ketu,Venus Mars,Sun Moon Mercury Saturn,,,,Rahu,Jupiter,,,,
,Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,,,,Ketu
,Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,,,,Ketu
Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,,,,Ketu,
Sun Venus Mars Saturn,Moon Mercury,,,Rahu,Jupiter,,,,,Ketu,
Moon Mercury,,,Rahu,Jupiter,,,,,Ketu,,Sun Venus Mars Saturn
Moon Mercury,,,Rahu,Jupiter,,,,,Ketu,,Sun Venus Mars Saturn
,,Rahu,Jupiter,,,,,Ketu,,Sun Venus Mars Saturn,Moon Mercury
