House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Moon Saturn,Rahu,,Sun Mercury,Venus,Mars,,Ketu,,,,Jupiter
Rahu,,Mercury,Sun,Venus Mars,,Ketu,,,,,Moon Jupiter Saturn
Rahu,,Sun Mercury,,Venus Mars,,Ketu,,,,Jupiter,Moon Saturn
Rahu,Mercury,Sun,Venus Mars,,,Ketu,,,,Jupiter Saturn,Moon
,Sun Mercury,,Venus Mars,,Ketu,,,,,Moon Jupiter Saturn,Rahu
,Sun Mercury,Venus Mars,,,Ketu,,,,Jupiter Saturn,Moon,Rahu
Sun Mercury,,Venus Mars,,Ketu,,,,,Moon Jupiter Saturn,Rahu,
Sun Mercury,Venus,Mars,,Ketu,,,,Jupiter Saturn,Moon,Rahu,
,Venus Mars,,Ketu,,,,,Moon Jupiter Saturn,Rahu,,Sun Mercury
Venus Mars,,,Ketu,,,,Jupiter Saturn,Moon,Rahu,,Sun Mercury
Venus Mars,,Ketu,,,,,Moon Jupiter Saturn,Rahu,,Sun Mercury,
,Ketu,,,,,Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars
,Ketu,,,,Jupiter Saturn,Moon,Rahu,,Sun Mercury,Venus Mars,
Ketu,,,,,Moon Jupiter Saturn,Rahu,,Sun Mercury,,Venus Mars,
,,,,Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu
,,,Jupiter,Moon Saturn,Rahu,,Sun Mercury,,Venus Mars,,Ketu
,,,Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu,
,,Jupiter,Moon Saturn,Rahu,,Sun Mercury,,Venus Mars,,Ketu,
,,Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu,,
,,Moon Jupiter Saturn,Rahu,,Sun Mercury,,Venus Mars,,Ketu,,
,Jupiter Saturn,Moon,Rahu,,Sun Mercury,Venus Mars,,,Ketu,,
,Jupiter Saturn,Moon Rahu,,Sun Mercury,,Venus Mars,,Ketu,,,
Jupiter Saturn,Moon,Rahu,,Sun Mercury,Venus,Mars,,Ketu,,,
Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu,,,,
Moon Saturn,Rahu,,Sun Mercury,,Venus Mars,,Ketu,,,,Jupiter
Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu,,,,,Jupiter Saturn
Rahu,,Sun Mercury,,Venus Mars,,Ketu,,,,Jupiter,Moon Saturn
,Mercury,Sun,Venus Mars,,Ketu,,,,,Jupiter Saturn,Moon Rahu
,Sun Mercury,,Venus Mars,,Ketu,,,,,Jupiter Saturn,Moon Rahu
,Sun Mercury,Venus Mars,,,Ketu,,,,Jupiter Saturn,Moon,Rahu
Sun Mercury,,Venus Mars,,Ketu,,,,,Jupiter Saturn,Moon Rahu,
Sun Mercury,Venus,Mars,,Ketu,,,,Jupiter Saturn,Moon,Rahu,
,Venus Mars,,Ketu,,,,,Jupiter Saturn,Moon Rahu,,Sun Mercury
Venus Mars,,,Ketu,,,,Jupiter Saturn,Moon,Rahu,,Sun Mercury
Venus Mars,,Ketu,,,,,Jupiter Saturn,Moon Rahu,,Sun Mercury,
,Ketu,,,,,Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars
,Ketu,,,,Jupiter Saturn,Moon,Rahu,,Sun Mercury,Venus Mars,
Ketu,,,,Jupiter,Saturn,Moon Rahu,,Sun Mercury,,Venus Mars,
,,,,Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu
,,,Jupiter,Saturn,Moon Rahu,,Sun Mercury,,Venus Mars,,Ketu
,,,Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu,
,,Jupiter,Saturn,Moon Rahu,,Sun Mercury,,Venus Mars,,Ketu,
,,Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu,,
,Jupiter,Saturn,Moon Rahu,,Sun Mercury,,Venus Mars,,Ketu,,
,Jupiter Saturn,Moon,Rahu,,Sun Mercury,Venus Mars,,,Ketu,,
,Jupiter Saturn,Moon Rahu,,Sun Mercury,,Venus Mars,,Ketu,,,
Jupiter Saturn,,Moon Rahu,,Sun Mercury,Venus Mars,,,Ketu,,,
Jupiter Saturn,Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu,,,,
Saturn,Moon Rahu,,Sun Mercury,,Venus Mars,,Ketu,,,,Jupiter
Moon Rahu,,Mercury,Sun,Venus Mars,,Ketu,,,,,Jupiter Saturn
