House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Moon,,Mars,Sun Venus,Mercury,Ketu,,,Saturn,Jupiter,,Rahu
Moon,,Mars,Sun Mercury Venus,Ketu,,,,Saturn,Jupiter,Rahu,
Moon,Mars,Sun,Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu,
,Mars,Sun Mercury Venus,Ketu,,,,Saturn,Jupiter,Rahu,,Moon
Mars,Sun,Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu,,Moon
Mars,Sun Mercury Venus,Ketu,,,,Saturn,Jupiter,Rahu,,Moon,
Sun Mars,Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu,,Moon,
Sun Venus,Mercury,Ketu,,,Saturn,Jupiter,,Rahu,,Moon,Mars
Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu,,Moon,,Sun Mars
,Ketu,,,Saturn,Jupiter,,Rahu,Moon,,Mars,Sun Mercury Venus
Ketu,,,Saturn,,Jupiter,Rahu,,Moon,Mars,Sun,Mercury Venus
,,,Saturn,Jupiter,Rahu,,Moon,,Mars,Sun Mercury Venus,Ketu
,,Saturn,Jupiter,Rahu,,,Moon,Mars,Sun Mercury Venus,Ketu,
,Saturn,,Jupiter,Rahu,,Moon,Mars,Sun,Mercury Venus,Ketu,
,Saturn,Jupiter,Rahu,,Moon,,Mars,Sun Mercury Venus,Ketu,,
Saturn,Jupiter,,Rahu,,Moon,Mars,Sun Venus,Mercury,Ketu,,
,Jupiter,Rahu,,Moon,,Mars,Sun Mercury Venus,Ketu,,,Saturn
Jupiter,,Rahu,,Moon,Mars,Sun Venus,Mercury,Ketu,,,Saturn
Jupiter,Rahu,,Moon,,Mars,Sun Mercury Venus,Ketu,,,,Saturn
Jupiter,Rahu,,Moon,Mars,Sun,Mercury Venus,Ketu,,,Saturn,
Rahu,,,Moon,Mars,Sun Mercury Venus,Ketu,,,,Saturn,Jupiter
Rahu,,Moon,Mars,Sun,Mercury Venus,Ketu,,,Saturn,,Jupiter
Rahu,,Moon,Mars,Sun Venus,Mercury,Ketu,,,Saturn,Jupiter,
,Moon,,Mars,Sun Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu
,Moon,Mars,Sun Venus,Mercury,Ketu,,,Saturn,Jupiter,,Rahu
Moon,,Mars,Sun Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu,
Moon,Mars,Sun,Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu,
Moon,Mars,Sun Mercury Venus,Ketu,,,,Saturn,Jupiter,Rahu,,
Mars,Sun,Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu,,Moon
Mars,Sun Mercury Venus,Ketu,,,,Saturn,Jupiter,Rahu,,,Moon
Sun Mars,Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu,,Moon,
Sun Venus,Mercury,Ketu,,,Saturn,Jupiter,,Rahu,,Moon,Mars
Mercury Venus,Ketu,,,Saturn,,Jupiter,Rahu,,Moon,,Sun Mars
Ketu,,,,Saturn,Jupiter,Rahu,,,Moon,Mars,Sun Mercury Venus
Ketu,,,Saturn,,Jupiter,Rahu,,Moon,Mars,Sun,Mercury Venus
,,Saturn,,Jupiter,Rahu,,,Moon,Mars,Sun Mercury Venus,Ketu
,,Saturn,Jupiter,Rahu,,,Moon,Mars,Sun Mercury Venus,Ketu,
,Saturn,,Jupiter,Rahu,,Moon,Mars,Sun,Mercury Venus,Ketu,
Saturn,,Jupiter,Rahu,,,Moon,Mars,Sun Mercury Venus,Ketu,,
Saturn,Jupiter,,Rahu,,Moon,Mars,Sun Venus,Mercury,Ketu,,
