House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,,Venus Ketu,Sun Mercury,,Moon Mars,,,Jupiter Rahu,,,Saturn
,,Mercury Venus Ketu,Sun,,Moon Mars,,,Jupiter Rahu,,Saturn,
,Venus Ketu,Sun Mercury,,Moon Mars,,,Jupiter Rahu,,,Saturn,
,Mercury Venus Ketu,Sun,,Moon Mars,,,Jupiter Rahu,,,Saturn,
Venus Ketu,Sun Mercury,,Moon Mars,,,Jupiter Rahu,,,Saturn,,
Venus Ketu,Sun Mercury,,Moon Mars,,,Jupiter Rahu,,,Saturn,,
Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu
Sun Mercury,,Moon Mars,,,Jupiter Rahu,,,Saturn,,,Venus Ketu
,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury
,Moon Mars,,,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury
Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,
Moon Mars,,Jupiter,Rahu,,Saturn,,,,Mercury Venus Ketu,Sun,
,,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Moon Mars
,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon
Jupiter,Rahu,,Saturn,,,,Mercury Venus Ketu,Sun,,Moon Mars,
Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Moon Mars,,
,,Saturn,,,Venus Ketu,Mercury,Sun,,Moon Mars,,Jupiter Rahu
,,Saturn,,,Venus Ketu,Sun Mercury,,Moon Mars,,,Jupiter Rahu
,Saturn,,,,Mercury Venus Ketu,Sun,,Moon Mars,,,Jupiter Rahu
,Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,
,Saturn,,,Venus Ketu,Sun Mercury,,Moon Mars,,,Jupiter Rahu,
Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,
Saturn,,,Venus Ketu,Sun Mercury,,Moon Mars,,,Jupiter Rahu,,
,,Venus Ketu,Mercury,Sun,,Moon Mars,,Jupiter Rahu,,,Saturn
,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn
,,Mercury Venus Ketu,Sun,,Moon Mars,,Jupiter,Rahu,,Saturn,
,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,
,Mercury Venus Ketu,Sun,,Moon Mars,,,Jupiter Rahu,,,Saturn,
Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,,
Venus Ketu,Sun Mercury,,Moon Mars,,,Jupiter Rahu,,,Saturn,,
Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu
Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu
,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury
,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury
Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,
Moon Mars,,Jupiter Rahu,,,Saturn,,,Ketu,Mercury Venus,Sun,
Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Mars
,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon
Jupiter Rahu,,,Saturn,,,Ketu,Mercury Venus,Sun,,Moon Mars,
Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,
,,Saturn,,,Venus Ketu,Mercury,Sun,,Moon Mars,,Jupiter Rahu
,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu
,Saturn,,,,Mercury Venus Ketu,Sun,,Moon Mars,,,Jupiter Rahu
,Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,
,Saturn,,,Mercury Venus Ketu,Sun,,Mars,Moon,,Jupiter Rahu,
Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,
Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,
,,Venus Ketu,Mercury,Sun,Mars,Moon,,Jupiter Rahu,,,Saturn
,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn
,Ketu,Mercury Venus,Sun,,Mars,Moon,Jupiter Rahu,,,Saturn,
,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,
,Mercury Venus Ketu,Sun,,Mars,Moon,,Jupiter Rahu,,,Saturn,
Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,,
Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,,
Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu
Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu
,Mars,,Moon,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury
,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Mercury Venus Ketu,Sun
Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,
Mars,Moon,Jupiter Rahu,,,Saturn,,,Venus Ketu,Mercury,Sun,
Moon,,Jupiter Rahu,,,Saturn,,,Mercury Venus Ketu,Sun,,Mars
,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon
Jupiter Rahu,,,Saturn,,,Ketu,Mercury Venus,Sun,,Mars,Moon
Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,
,,Saturn,,,Ketu,Mercury Venus,Sun,,Mars,Moon,Jupiter Rahu
,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu
,Saturn,,,,Mercury Venus Ketu,Sun,,Mars,Moon,Jupiter,Rahu
,Saturn,,,Venus Ketu,Sun Mercury,,Mars,,Moon,Jupiter Rahu,
,Saturn,,,Mercury Venus Ketu,Sun,,Mars,Moon,,Jupiter Rahu,
Saturn,,,Venus Ketu,Sun Mercury,,Mars,,Moon,Jupiter Rahu,,
Saturn,,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,
,,Venus Ketu,Mercury,Sun,Mars,,Moon,Jupiter Rahu,,,Saturn
,,Venus Ketu,Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn
,Ketu,Mercury Venus,Sun,,Mars,Moon,Jupiter Rahu,,,Saturn,
,Venus Ketu,Sun Mercury,,Mars,,Moon,Jupiter Rahu,,,Saturn,
,Mercury Venus Ketu,Sun,,Mars,Moon,,Jupiter Rahu,,Saturn,,
Venus Ketu,Sun Mercury,,Mars,,Moon,Jupiter Rahu,,,Saturn,,
Mercury Venus Ketu,Sun,,Mars,Moon,,Jupiter Rahu,,,Saturn,,
Sun Mercury,,Mars,,Moon,Jupiter Rahu,,,Saturn,,,Venus Ketu
Sun Mercury,,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Venus Ketu
,Mars,,Moon,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury
,Mars,Moon,,Jupiter Rahu,,,Saturn,,,Mercury Venus Ketu,Sun
Mars,,Moon,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,
Mars,Moon,Jupiter Rahu,,,Saturn,,,Venus Ketu,Mercury,Sun,
Moon,,Jupiter Rahu,,,Saturn,,,Mercury Venus Ketu,Sun,,Mars
Moon,Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,
Jupiter Rahu,,,Saturn,,,Ketu,Mercury Venus,Sun,,Mars,Moon
Jupiter Rahu,,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,,Moon
,,Saturn,,,Ketu,Mercury Venus,Sun,,Mars,Moon,Jupiter Rahu
,,Saturn,,,Venus Ketu,Sun Mercury,,Mars,,Moon,Jupiter Rahu
,Saturn,,,Ketu,Mercury Venus,Sun,,Mars,Moon,Jupiter Rahu,
,Saturn,,,Venus Ketu,Sun Mercury,,Mars,,Moon,Jupiter Rahu,
,Saturn,,,Mercury Venus Ketu,Sun,,Mars,,Moon,Jupiter Rahu,
Saturn,,,Venus Ketu,Sun Mercury,,Mars,,Moon,Jupiter Rahu,,
Saturn,,,Mercury Venus Ketu,Sun,,Mars,,Moon,Jupiter Rahu,,
,,Venus Ketu,Mercury,Sun,Mars,,Moon,Jupiter Rahu,,,Saturn
,,Venus Ketu,Sun Mercury,,Mars,,Moon,Jupiter Rahu,,,Saturn
,Ketu,Mercury Venus,Sun,,Mars,Moon,Jupiter Rahu,,,Saturn,
,Venus Ketu,Sun Mercury,,Mars,,Moon,Jupiter Rahu,,,Saturn,
