House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Mars,Jupiter,Venus,Sun Rahu,Mercury,,,Saturn,,Moon Ketu,,
Jupiter,,Venus,Sun Mercury Rahu,,,Saturn,,,Moon Ketu,,Mars
Jupiter,,Sun Venus Rahu,Mercury,,,Saturn,,Moon Ketu,,,Mars
,Venus,Sun Mercury Rahu,,,,Saturn,,Moon Ketu,,,Mars Jupiter
,Sun Venus Rahu,Mercury,,,Saturn,,Moon Ketu,,,Mars,Jupiter
Venus,Sun Rahu,Mercury,,,Saturn,,Moon Ketu,,,Mars Jupiter,
Sun Venus,Mercury Rahu,,,Saturn,,,Moon Ketu,,Mars,Jupiter,
Sun Rahu,Mercury,,,Saturn,,Moon Ketu,,,Mars Jupiter,,Venus
Mercury Rahu,,,Saturn,,,Moon Ketu,,Mars,Jupiter,,Sun Venus
Mercury,,,Saturn,,Moon Ketu,,,Mars Jupiter,,Venus,Sun Rahu
,,Saturn,,Moon Ketu,,,Mars,Jupiter,,Sun Venus Rahu,Mercury
,Saturn,,,Moon Ketu,,Mars,Jupiter,,Venus,Sun Mercury Rahu,
,Saturn,,Moon Ketu,,,Mars Jupiter,,Venus,Sun Rahu,Mercury,
Saturn,,Moon Ketu,,,Mars,Jupiter,,Sun Venus Rahu,Mercury,,
,,Moon Ketu,,Mars,Jupiter,,Venus,Sun Mercury Rahu,,,Saturn
,Moon Ketu,,,Mars,Jupiter,Venus,Sun Rahu,Mercury,,,Saturn
,Moon Ketu,,Mars,Jupiter,,Venus,Sun Mercury Rahu,,,Saturn,
Moon Ketu,,,Mars,Jupiter,Venus,Sun Rahu,Mercury,,,Saturn,
Moon Ketu,,Mars,Jupiter,,Venus,Sun Mercury Rahu,,,Saturn,,
Moon,,Mars,Jupiter,,Sun Venus Rahu,Mercury,,,Saturn,,Ketu
,,Mars Jupiter,,Venus,Sun Mercury Rahu,,,,Saturn,,Moon Ketu
,Mars,Jupiter,,Sun Venus Rahu,Mercury,,,Saturn,,Ketu,Moon
,Mars Jupiter,,Venus,Sun Rahu,Mercury,,,Saturn,,Moon Ketu,
Mars,Jupiter,,Venus,Sun Mercury Rahu,,,Saturn,,,Moon Ketu,
Mars,Jupiter,Venus,Sun Rahu,Mercury,,,Saturn,,Ketu,Moon,
Jupiter,,Venus,Sun Mercury Rahu,,,Saturn,,,Moon Ketu,,Mars
Jupiter,,Sun Venus Rahu,Mercury,,,Saturn,,Ketu,Moon,,Mars
,Venus,Sun Mercury Rahu,,,,Saturn,,Moon Ketu,,,Mars Jupiter
,Sun Venus Rahu,Mercury,,,Saturn,,Ketu,Moon,,Mars,Jupiter
Venus,Sun Rahu,Mercury,,,Saturn,,Moon Ketu,,,Mars Jupiter,
Sun Venus,Mercury Rahu,,,Saturn,,,Moon Ketu,,Mars,Jupiter,
Sun Rahu,Mercury,,,Saturn,,Ketu,Moon,,Mars Jupiter,,Venus
Mercury Rahu,,,Saturn,,,Moon Ketu,,Mars,Jupiter,,Sun Venus
Mercury,,,Saturn,,Ketu,Moon,,Mars Jupiter,,Venus,Sun Rahu
,,Saturn,,Ketu,Moon,,Mars,Jupiter,,Sun Venus Rahu,Mercury
,Saturn,,,Moon Ketu,,Mars,Jupiter,,Venus,Sun Mercury Rahu,
,Saturn,,Ketu,Moon,,Mars Jupiter,,Venus,Sun Rahu,Mercury,
Saturn,,Ketu,Moon,,Mars,Jupiter,,Sun Venus Rahu,Mercury,,
,,Moon Ketu,,Mars,Jupiter,,Venus,Sun Mercury Rahu,,,Saturn
,Ketu,Moon,,Mars Jupiter,,Venus,Sun Rahu,Mercury,,,Saturn
,Moon Ketu,,Mars,Jupiter,,Venus,Sun Mercury Rahu,,,Saturn,
Ketu,Moon,,Mars,Jupiter,Venus,Sun Rahu,Mercury,,,Saturn,
Moon Ketu,,Mars,Jupiter,,Venus,Sun Mercury Rahu,,,Saturn,,
Moon,,Mars,Jupiter,,Sun Venus Rahu,Mercury,,,Saturn,,Ketu
Moon,,Mars Jupiter,,Venus,Sun Mercury Rahu,,,,Saturn,,Ketu
,Mars,Jupiter,,Sun Venus Rahu,Mercury,,,Saturn,,Ketu,Moon
,Mars Jupiter,,Venus,Sun Rahu,Mercury,,,Saturn,,Ketu,Moon
Mars,Jupiter,,Venus,Sun Mercury Rahu,,,Saturn,,,Moon Ketu,
Mars Jupiter,,Venus,Sun Rahu,Mercury,,,Saturn,,Ketu,Moon,
Jupiter,,Venus,Sun Mercury Rahu,,,Saturn,,,Ketu,Moon,Mars
Jupiter,,Sun Venus Rahu,Mercury,,,Saturn,,Ketu,Moon,,Mars
,Venus,Sun Mercury Rahu,,,Saturn,,,Ketu,Moon,,Mars Jupiter
,Sun Venus Rahu,Mercury,,,Saturn,,Ketu,Moon,,Mars,Jupiter
