House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Jupiter,,Mercury Venus,Sun,Saturn,Moon Rahu,,,,,,Mars Ketu
,,Mercury Venus,Sun,Saturn,Moon Rahu,,,,,,Mars Jupiter Ketu
,,Mercury Venus,Sun,Saturn,Rahu,Moon,,,,,Mars Jupiter Ketu
,,Mercury Venus,Sun,Saturn,Rahu,Moon,,,,,Mars Jupiter Ketu
,,Mercury Venus,Sun,Saturn,Rahu,Moon,,,,,Mars Jupiter Ketu
,,Mercury Venus,Sun,Saturn,Rahu,,Moon,,,,Mars Jupiter Ketu
,,Mercury Venus,Sun,Saturn,Rahu,,Moon,,,,Mars Jupiter Ketu
,,Mercury Venus,Sun,Saturn,Rahu,,,Moon,,,Mars Jupiter Ketu
,,Venus,Sun Mercury,Saturn,Rahu,,,Moon,,,Mars Jupiter Ketu
,,Venus,Sun Mercury,Saturn,Rahu,,,Moon,,,Mars Jupiter Ketu
,,Venus,Sun Mercury,Saturn,Rahu,,,,Moon,,Mars Jupiter Ketu
,,Venus,Sun Mercury,Saturn,Rahu,,,,Moon,,Mars Jupiter Ketu
,,Venus,Sun Mercury,Saturn,Rahu,,,,Moon,,Mars Jupiter Ketu
,,Venus,Sun Mercury,Saturn,Rahu,,,,,Moon,Mars Jupiter Ketu
,,Venus,Sun Mercury,Saturn,Rahu,,,,,Moon,Mars Jupiter Ketu
,,Venus,Sun Mercury Saturn,,Rahu,,,,,,Moon Mars Jupiter Ketu
,,Venus,Sun Mercury Saturn,,Rahu,,,,,,Moon Mars Jupiter Ketu
Moon,,Venus,Sun Mercury Saturn,,Rahu,,,,,,Mars Jupiter Ketu
Moon,,Venus,Sun Mercury Saturn,,Rahu,,,,,,Mars Jupiter Ketu
Moon,,Venus,Sun Mercury Saturn,,Rahu,,,,,,Mars Jupiter Ketu
,Moon,Venus,Sun Mercury Saturn,Rahu,,,,,,Ketu,Mars Jupiter
,Moon,Venus,Sun Mercury Saturn,Rahu,,,,,,Ketu,Mars Jupiter
,,Moon Venus,Sun Mercury Saturn,Rahu,,,,,,Ketu,Mars Jupiter
,,Moon Venus,Sun Mercury Saturn,Rahu,,,,,,Ketu,Mars Jupiter
,,Venus,Sun Moon Mercury Saturn,Rahu,,,,,,Ketu,Mars Jupiter
,,Venus,Sun Moon Mercury Saturn,Rahu,,,,,,Ketu,Mars Jupiter
,,Venus,Sun Mercury Saturn,Moon Rahu,,,,,,Ketu,Mars Jupiter
,,,Sun Mercury Venus Saturn,Moon Rahu,,,,,,Ketu,Mars Jupiter
,,,Sun Mercury Venus Saturn,Moon Rahu,,,,,,Ketu,Mars Jupiter
,,,Sun Mercury Venus Saturn,Rahu,Moon,,,,,Ketu,Mars Jupiter
,,,Sun Mercury Venus Saturn,Rahu,Moon,,,,,Ketu,Mars Jupiter
,,,Sun Mercury Venus Saturn,Rahu,,Moon,,,,Mars Ketu,Jupiter
,,,Sun Mercury Venus Saturn,Rahu,,Moon,,,,Mars Ketu,Jupiter
,,,Sun Mercury Venus Saturn,Rahu,,Moon,,,,Mars Ketu,Jupiter
,,,Sun Mercury Venus Saturn,Rahu,,,Moon,,,Mars Jupiter Ketu,
,,,Sun Mercury Venus Saturn,Rahu,,,Moon,,,Mars Jupiter Ketu,
