House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,,Venus,Sun Mercury,Rahu,Saturn,Mars,Jupiter,Moon,,Ketu,
,,Venus,Sun Mercury,Rahu,Saturn,Mars,Jupiter,Moon,,Ketu,
,,Venus,Sun Mercury,Rahu,Saturn,Mars Jupiter,,,Moon,Ketu,
,,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,Moon,Ketu,
,,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,Moon,Ketu,
,,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Moon Ketu,
,,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Moon Ketu,
,,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Ketu,Moon
,,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Ketu,Moon
,,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Ketu,Moon
Moon,,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Ketu,
Moon,,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Ketu,
,Moon,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Ketu,
,Moon,Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Ketu,
,,Moon Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Ketu,
,,Moon Mercury Venus,Sun,Rahu,Saturn,Mars Jupiter,,,,Ketu,
,,Mercury Venus,Sun Moon,Saturn Rahu,,Mars Jupiter,,,,Ketu,
,,Mercury Venus,Sun Moon,Saturn Rahu,,Mars Jupiter,,,,Ketu,
,,Mercury Venus,Sun Moon,Saturn Rahu,,Mars Jupiter,,,,Ketu,
,,Mercury Venus,Sun,Moon Saturn Rahu,,Mars Jupiter,,,,Ketu,
,,Mercury Venus,Sun,Moon Saturn Rahu,,Mars Jupiter,,,,Ketu,
,,Mercury Venus,Sun,Saturn Rahu,Moon,Mars Jupiter,,,,Ketu,
,,Mercury Venus,Sun,Saturn Rahu,Moon,Mars Jupiter,,,,Ketu,
