House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,,,Sun Mercury Saturn,Venus Rahu,Moon Mars,Jupiter,,,,Ketu,
,,,Sun Mercury Saturn,Venus Rahu,Moon Mars,Jupiter,,,,Ketu,
,,,Sun Mercury Saturn,Venus Rahu,Mars,Moon Jupiter,,,,Ketu,
,,,Sun Mercury Saturn Rahu,Venus,Mars,Moon Jupiter,,,Ketu,,
,,,Sun Mercury Saturn Rahu,Venus,Mars,Moon Jupiter,,,Ketu,,
,,,Sun Mercury Saturn Rahu,Venus,Mars,Jupiter,Moon,,Ketu,,
,,Saturn,Sun Mercury Rahu,Venus,Mars,Jupiter,Moon,,Ketu,,
,,Saturn,Sun Mercury Rahu,Venus,Mars,Jupiter,Moon,,Ketu,,
,,Saturn,Sun Mercury Rahu,Venus,Mars,Jupiter,,Moon,Ketu,,
,,Saturn,Sun Mercury Rahu,Venus,Mars,Jupiter,,Moon,Ketu,,
,,Saturn,Sun Mercury Rahu,Venus,Mars,Jupiter,,,Moon Ketu,,
,,Saturn,Sun Mercury Rahu,Venus,Mars,Jupiter,,,Moon Ketu,,
,,Saturn,Sun Mercury Rahu,Venus,Mars,Jupiter,,,Moon Ketu,,
,,Saturn,Sun Mercury Rahu,Venus,Mars,Jupiter,,,Ketu,Moon,
,,Saturn,Sun Rahu,Mercury Venus,Mars,Jupiter,,,Ketu,Moon,
,,Saturn,Sun Rahu,Mercury Venus,Mars,Jupiter,,,Ketu,,Moon
,,Saturn,Sun Rahu,Mercury Venus,Mars,Jupiter,,,Ketu,,Moon
Moon,,Saturn,Sun Rahu,Mercury Venus,Mars,Jupiter,,,Ketu,,
Moon,,Saturn,Sun Rahu,Mercury Venus Mars,,Jupiter,,,Ketu,,
,Moon,Saturn,Sun Rahu,Mercury Venus Mars,,Jupiter,,,Ketu,,
,Moon,Saturn,Sun Rahu,Mercury Venus Mars,,Jupiter,,,Ketu,,
,Moon,Saturn,Sun Rahu,Mercury Venus Mars,,Jupiter,,,Ketu,,
,,Moon Saturn,Sun Rahu,Mercury Venus Mars,,Jupiter,,,Ketu,,
,,Moon Saturn,Sun Rahu,Mercury Venus Mars,Jupiter,,,,Ketu,,
,,Saturn,Sun Moon Rahu,Mercury Venus Mars,Jupiter,,,,Ketu,,
,,Saturn,Sun Moon Rahu,Mercury Venus Mars,Jupiter,,,,Ketu,,
,,Saturn,Sun Moon Rahu,Mercury Venus Mars,Jupiter,,,,Ketu,,
,,Saturn,Sun Rahu,Moon Mercury Venus Mars,Jupiter,,,,Ketu,,
,,Saturn,Sun Rahu,Moon Mercury Venus Mars,Jupiter,,,,Ketu,,
,,Saturn,Sun Rahu,Mercury Venus Mars,Moon Jupiter,,,,Ketu,,
,,Saturn,Sun Rahu,Mercury Venus Mars,Moon Jupiter,,,,Ketu,,
,,Saturn,Sun Rahu,Mercury Venus Mars,Moon Jupiter,,,,Ketu,,
,,Saturn,Sun Rahu,Mercury Venus Mars,Jupiter,Moon,,,Ketu,,
,,Saturn,Sun Rahu,Mercury Venus Mars,Jupiter,Moon,,,Ketu,,
,,Saturn,Sun Rahu,Mercury Venus Mars,Jupiter,Moon,,,Ketu,,
,,Saturn,Sun Rahu,Mercury Venus Mars,Jupiter,,Moon,,Ketu,,
,,Saturn Rahu,Sun,Mercury Venus Mars,Jupiter,,Moon,Ketu,,,
,,Saturn Rahu,Sun,Mercury Venus Mars,Jupiter,,,Moon Ketu,,,
,,Saturn Rahu,Sun,Mercury Venus Mars,Jupiter,,,Moon Ketu,,,
,,Saturn Rahu,Sun,Mercury Venus Mars,Jupiter,,,Moon Ketu,,,
,,Saturn Rahu,Sun,Mercury Venus Mars,Jupiter,,,Ketu,Moon,,
,,Saturn Rahu,Sun,Mercury Venus Mars,Jupiter,,,Ketu,Moon,,
,,Saturn Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,Moon,
,,Saturn Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,Moon,
,,Saturn Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,,Moon
,Saturn,Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,,Moon
Moon,Saturn,Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,,
Moon,Saturn,Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,,
,Moon Saturn,Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,,
,Moon Saturn,Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,,
,Moon Saturn,Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,,
,Saturn,Moon Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,,
,Saturn,Moon Rahu,Sun Mercury,Venus Mars,Jupiter,,,Ketu,,,
,Saturn,Rahu,Sun Moon Mercury,Venus Mars,Jupiter,,,Ketu,,,
,Saturn,Rahu,Sun Moon Mercury,Venus Mars,Jupiter,,,Ketu,,,
,Saturn,Rahu,Sun Moon Mercury,Venus Mars,Jupiter,,,Ketu,,,
,Saturn,Rahu,Sun Mercury,Moon Venus Mars,Jupiter,,,Ketu,,,
,Saturn,Rahu,Sun Mercury,Moon Venus Mars,Jupiter,,,Ketu,,,
,Saturn,Rahu,Sun Mercury,Moon Venus Mars,Jupiter,,,Ketu,,,
,Saturn,Rahu,Sun Mercury,Venus Mars,Moon Jupiter,,,Ketu,,,
,Saturn,Rahu,Sun Mercury,Venus Mars,Moon Jupiter,,,Ketu,,,
,Saturn,Rahu,Sun Mercury,Venus Mars,Jupiter,Moon,,Ketu,,,
,Saturn,Rahu,Sun Mercury,Venus Mars,Jupiter,Moon,,Ketu,,,
,Saturn,Rahu,Sun Mercury,Venus Mars,Jupiter,Moon,,Ketu,,,
,Saturn,Rahu,Sun Mercury,Mars,Venus Jupiter,,Moon,Ketu,,,
,Saturn,Rahu,Sun Mercury,Mars,Venus Jupiter,,Moon,Ketu,,,
