House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Moon Mars Rahu,Jupiter,Sun Mercury,,Venus,,Saturn Ketu,,,,
,Mars Rahu,Moon Jupiter,Sun Mercury,,Venus,Saturn,Ketu,,,,
,Mars Rahu,Moon Jupiter,Sun Mercury,,Venus,Saturn,Ketu,,,,
,Mars Rahu,Jupiter,Sun Moon Mercury,,Venus,Saturn,Ketu,,,,
,Mars Rahu,Jupiter,Sun Moon Mercury,,Venus,Saturn,Ketu,,,,
,Mars Rahu,Jupiter,Sun Moon Mercury,,Venus,Saturn,Ketu,,,,
,Mars Rahu,Jupiter,Sun Mercury,Moon,Venus,Saturn,Ketu,,,,
,Mars Rahu,Jupiter,Sun Mercury,Moon,Venus,Saturn,Ketu,,,,
,Mars Rahu,Mercury Jupiter,Sun,Moon,Venus,Saturn,Ketu,,,,
,Mars Rahu,Mercury Jupiter,Sun,,Moon Venus,Saturn,Ketu,,,,
,Mars Rahu,Mercury Jupiter,Sun,,Moon Venus,Saturn,Ketu,,,,
,Mars Rahu,Mercury Jupiter,Sun,,Venus,Moon Saturn,Ketu,,,,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Moon Saturn,Ketu,,,,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Moon Ketu,,,,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Moon Ketu,,,,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Moon Ketu,,,,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,Moon,,,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,Moon,,,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,Moon,,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,Moon,,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,,Moon,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,,Moon,
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,,,Moon
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,,,Moon
,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,,,Moon
Moon,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,,,
Moon,Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,,,
,Moon Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,,,
,Moon Mars Jupiter Rahu,Mercury,Sun,,Venus,Saturn,Ketu,,,,
Rahu,Moon Mars Jupiter,Mercury,Sun,,Venus,Saturn Ketu,,,,,
Rahu,Mars Jupiter,Moon Mercury,Sun,,Venus,Saturn Ketu,,,,,
Rahu,Mars Jupiter,Moon Mercury,Sun,,Venus,Saturn Ketu,,,,,
Rahu,Mars Jupiter,Moon Mercury,Sun,,Venus,Saturn Ketu,,,,,
Rahu,Mars Jupiter,,Sun Moon Mercury,,Venus,Saturn Ketu,,,,,
Rahu,Mars Jupiter,,Sun Moon Mercury,,Venus,Saturn Ketu,,,,,
Rahu,Mars Jupiter,,Sun Mercury,Moon,Venus,Saturn Ketu,,,,,
Rahu,Mars Jupiter,,Sun Mercury,Moon,Venus,Saturn Ketu,,,,,
Rahu,Mars Jupiter,,Sun Mercury,Moon,Venus Saturn,Ketu,,,,,
Rahu,Mars Jupiter,,Sun Mercury,,Moon Venus Saturn,Ketu,,,,,
Rahu,Mars Jupiter,,Sun Mercury,,Moon Venus Saturn,Ketu,,,,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Moon Ketu,,,,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Moon Ketu,,,,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,Moon,,,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,Moon,,,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,Moon,,,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,,Moon,,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,,Moon,,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,,,Moon,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,,,Moon,,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,,,,Moon,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,,,,Moon,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,,,,Moon,
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,,,,,Moon
Rahu,Mars Jupiter,,Sun Mercury,,Venus Saturn,Ketu,,,,,Moon
Moon Jupiter Rahu,Mars,,Sun Mercury,,Venus Saturn,Ketu,,,,,
Moon Jupiter Rahu,Mars,,Sun Mercury,,Venus Saturn,Ketu,,,,,
Moon Jupiter Rahu,Mars,,Sun Mercury,,Venus Saturn,Ketu,,,,,
Jupiter Rahu,Moon Mars,,Sun Mercury,,Venus Saturn,Ketu,,,,,
Jupiter Rahu,Moon Mars,,Sun Mercury,,Venus Saturn,Ketu,,,,,
Jupiter Rahu,Moon Mars,,Sun Mercury,,Venus Saturn,Ketu,,,,,
Jupiter Rahu,Mars,Moon,Sun Mercury,,Venus Saturn,Ketu,,,,,
Jupiter Rahu,Mars,Moon,Sun Mercury,,Venus Saturn,Ketu,,,,,
Jupiter Rahu,Mars,,Sun Moon Mercury,,Venus Saturn,Ketu,,,,,
Jupiter,Mars,,Sun Moon Mercury,,Venus Saturn Ketu,,,,,,Rahu
Jupiter,Mars,,Sun Moon Mercury,,Venus Saturn Ketu,,,,,,Rahu
Jupiter,Mars,,Sun Mercury,Moon,Venus Saturn Ketu,,,,,,Rahu
Jupiter,Mars,,Sun Mercury,Moon,Venus Saturn Ketu,,,,,,Rahu
Jupiter,Mars,,Sun Mercury,,Moon Venus Saturn Ketu,,,,,,Rahu
Jupiter,Mars,,Sun Mercury,,Moon Venus Saturn Ketu,,,,,,Rahu
Jupiter,Mars,,Sun,Mercury,Venus Saturn Ketu,Moon,,,,,Rahu
Jupiter,Mars,,Sun,Mercury Venus,Saturn Ketu,Moon,,,,,Rahu
Jupiter,Mars,,Sun,Mercury Venus,Saturn Ketu,,Moon,,,,Rahu
Jupiter,Mars,,Sun,Mercury Venus,Saturn Ketu,,Moon,,,,Rahu
Jupiter,Mars,,Sun,Mercury Venus,Saturn Ketu,,Moon,,,,Rahu
Jupiter,Mars,,Sun,Mercury Venus,Saturn Ketu,,,Moon,,,Rahu
Jupiter,Mars,,Sun,Mercury Venus,Saturn Ketu,,,Moon,,,Rahu
Jupiter,Mars,,Sun,Mercury Venus,Saturn Ketu,,,,Moon,,Rahu
Jupiter,Mars,,Sun,Mercury Venus Saturn,Ketu,,,,Moon,,Rahu
Jupiter,Mars,,Sun,Mercury Venus Saturn,Ketu,,,,,Moon,Rahu
Jupiter,Mars,,Sun,Mercury Venus Saturn,Ketu,,,,,Moon,Rahu
Mars Jupiter,,,Sun,Mercury Venus Saturn,Ketu,,,,,Moon,Rahu
Mars Jupiter,,,Sun,Mercury Venus Saturn,Ketu,,,,,,Moon Rahu
Mars Jupiter,,,Sun,Mercury Venus Saturn,Ketu,,,,,,Moon Rahu
Mars Jupiter,,,Sun,Mercury Venus Saturn,Ketu,,,,,,Moon Rahu
