House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Saturn,Ketu,Sun Mercury Mars,Venus,,,,Moon Rahu,Jupiter,,
,Saturn,Ketu,Sun Mercury Mars,Venus,,,,Moon Rahu,Jupiter,,
,Saturn,Ketu,Sun Mercury Mars,Venus,,,,Rahu,Moon Jupiter,,
,Saturn,Ketu,Sun Mercury Mars,Venus,,,,Rahu,Moon Jupiter,,
,Saturn,Ketu,Sun Mercury Mars,Venus,,,,Rahu,Moon Jupiter,,
,Saturn Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,Moon,
,Saturn Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,Moon,
,Saturn Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,Moon
,Saturn Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,Moon
,Saturn Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,Moon
Moon,Saturn Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,
Moon,Saturn Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,
,Moon Saturn Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,
,Moon Saturn Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,
Saturn,Moon Ketu,,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,
Saturn,Ketu,Moon,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,
Saturn,Ketu,Moon,Sun Mercury Mars,Venus,,,Rahu,,Jupiter,,
Saturn,Ketu,,Sun Moon Mercury Mars,Venus,,,Rahu,,Jupiter,,
Saturn,Ketu,,Sun Moon Mercury Mars,Venus,,,Rahu,,Jupiter,,
Saturn,Ketu,,Sun Mercury Mars,Moon Venus,,,Rahu,Jupiter,,,
Saturn,Ketu,,Sun Mercury Mars,Moon Venus,,,Rahu,Jupiter,,,
Saturn,Ketu,,Sun Mars,Mercury Venus,Moon,,Rahu,Jupiter,,,
