House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,Moon,,Ketu,Mars,,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,Moon,,Ketu,Mars,,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,Moon,Ketu,Mars,,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,Moon,Ketu,Mars,,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,Moon,Ketu,Mars,,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Moon Ketu,Mars,,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Moon Ketu,Mars,,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Moon Mars,,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Moon Mars,,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,Moon,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,Moon,
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,Moon
Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,Moon
Moon Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,
Moon Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,
Moon Jupiter,,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,
Jupiter,Moon,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,
Jupiter,Moon,Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,
Jupiter,,Moon Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,
Jupiter,,Moon Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,
Jupiter,,Moon Rahu,Sun Mercury,Saturn,Venus,,,Ketu,Mars,,
Jupiter,,Rahu,Sun Moon Mercury,Saturn,Venus,,,Ketu,Mars,,
Jupiter,,Rahu,Sun Moon Mercury,Saturn,Venus,,,Mars Ketu,,,
Jupiter,,Rahu,Sun Mercury,Moon Saturn,Venus,,,Mars Ketu,,,
Jupiter,,Rahu,Sun Mercury,Moon Saturn,Venus,,,Mars Ketu,,,
,,Rahu,Sun Mercury,Moon Saturn,Venus,,,Mars Ketu,,,Jupiter
,,Rahu,Sun Mercury,Saturn,Moon Venus,,,Mars Ketu,,,Jupiter
,,Rahu,Sun Mercury,Saturn,Moon Venus,,,Mars Ketu,,,Jupiter
