House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,,,Sun,Mercury Venus Jupiter,Mars Rahu,,,Moon,,,Saturn Ketu
,,,Sun,Mercury Venus Jupiter,Mars Rahu,,,Moon,,,Saturn Ketu
,,,Sun,Mercury Jupiter,Venus Mars Rahu,,,,Moon,,Saturn Ketu
,,,Sun,Mercury Jupiter,Venus Mars Rahu,,,,Moon,Saturn,Ketu
,,,Sun,Mercury Jupiter,Venus Mars Rahu,,,,,Moon Saturn,Ketu
,,,Sun,Mercury Jupiter,Venus Mars Rahu,,,,,Moon Saturn,Ketu
,,,Sun,Mercury Jupiter,Venus Mars Rahu,,,,,Saturn,Moon Ketu
,,,Sun,Mercury Jupiter,Venus Mars Rahu,,,,,Saturn,Moon Ketu
,,,Sun,Mercury Jupiter,Venus Mars Rahu,,,,,Saturn,Moon Ketu
Moon,,,Sun Mercury,Jupiter,Venus Mars Rahu,,,,,Saturn,Ketu
Moon,,,Sun Mercury,Jupiter,Venus Mars Rahu,,,,,Saturn,Ketu
,Moon,,Sun Mercury,Jupiter,Venus Mars Rahu,,,,,Saturn,Ketu
,Moon,,Sun Mercury,Jupiter,Venus Mars Rahu,,,,,Saturn,Ketu
,Moon,,Sun Mercury,Jupiter,Venus Mars Rahu,,,,,Saturn,Ketu
,,Moon,Sun Mercury,Jupiter,Venus Mars Rahu,,,,,Saturn,Ketu
,,Moon,Sun Mercury,Jupiter Rahu,Venus Mars,,,,,Saturn Ketu,
,,Moon,Sun Mercury,Jupiter Rahu,Venus Mars,,,,,Saturn Ketu,
,,,Sun Moon Mercury,Jupiter Rahu,Venus Mars,,,,,Saturn Ketu,
,,,Sun Moon Mercury,Jupiter Rahu,Venus Mars,,,,,Saturn Ketu,
,,,Sun Mercury,Moon Jupiter Rahu,Venus Mars,,,,,Saturn Ketu,
,,,Sun Mercury,Moon Jupiter Rahu,Venus Mars,,,,,Saturn Ketu,
,,,Sun Mercury,Moon Jupiter Rahu,Venus Mars,,,,,Saturn Ketu,
,,,Sun Mercury,Jupiter Rahu,Moon Venus Mars,,,,,Saturn Ketu,
,,,Sun Mercury,Jupiter Rahu,Moon Venus Mars,,,,,Saturn Ketu,
,,,Sun Mercury,Jupiter Rahu,Venus Mars,Moon,,,,Saturn Ketu,
,,,Sun Mercury,Jupiter Rahu,Venus Mars,Moon,,,,Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,Moon,,,Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,Moon,,,Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,Moon,,Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,Moon,,Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,Moon,,Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,,Moon,Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,,Moon,Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,,,Moon Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,,,Moon Saturn Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,,Saturn,Moon Ketu,
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,,Saturn,Ketu,Moon
,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,,Saturn,Ketu,Moon
Moon,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,,Saturn,Ketu,
Moon,,Mercury,Sun,Jupiter Rahu,Venus Mars,,,,Saturn,Ketu,
Moon,,Mercury,Sun Jupiter,Rahu,Venus Mars,,,,Saturn,Ketu,
,Moon,Mercury,Sun Jupiter,Rahu,Venus Mars,,,,Saturn,Ketu,
,Moon,Mercury,Sun Jupiter,Rahu,Venus Mars,,,,Saturn,Ketu,
,Moon,Mercury,Sun Jupiter,Rahu,Venus Mars,,,,Saturn,Ketu,
,,Moon Mercury,Sun Jupiter,Rahu,Venus Mars,,,,Saturn,Ketu,
