House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Mars,,Sun Mercury Ketu,,Moon Venus,,,Jupiter Saturn,Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,Moon,,Jupiter Saturn,Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,Moon,Saturn,Jupiter,Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,Moon,Saturn,Jupiter,Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn,Jupiter,Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,,Moon Saturn,Jupiter,Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,,Saturn,Moon Jupiter,Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,,Saturn,Moon Jupiter,Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,,Saturn,Jupiter,Moon Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,,Saturn,Jupiter,Moon Rahu,,
,Mars,,Sun Mercury Ketu,,Venus,,Jupiter Saturn,,Rahu,Moon,
,Mars,,Sun Mercury Ketu,,Venus,,Jupiter Saturn,,Rahu,Moon,
,Mars,,Sun Mercury Ketu,,Venus,,Jupiter Saturn,,Rahu,Moon,
,Mars,,Sun Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,Moon
,Mars,,Sun Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,Moon
Moon,Mars,,Sun Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
Moon,Mars,,Sun Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
,Moon Mars,,Sun Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
,Moon Mars,,Sun Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
,Moon Mars,,Sun Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
,Mars,Moon,Sun Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
,Mars,Moon,Sun Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
,Mars,,Sun Moon Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
,Mars,,Sun Moon Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
,Mars,,Sun Moon Ketu,Mercury,Venus,,Jupiter Saturn,,Rahu,,
,Mars,Ketu,Sun,Moon Mercury,Venus,,Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Moon Mercury,Venus,,Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Moon Mercury,Venus,,Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Mercury,Moon Venus,,Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Mercury,Moon Venus,,Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Mercury,Moon Venus,,Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Mercury,Venus,Moon,Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Mercury,Venus,Moon,Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Mercury,Venus,,Moon Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Mercury,Venus,,Moon Jupiter Saturn,Rahu,,,
,Mars,Ketu,Sun,Mercury,Venus,,Jupiter Saturn,Moon Rahu,,,
,Mars,Ketu,Sun,Mercury,Venus,Saturn,Jupiter,Moon Rahu,,,
,Mars,Ketu,Sun,Mercury,Venus,Saturn,Jupiter,Rahu,Moon,,
,Mars,Ketu,Sun,Mercury,Venus,Saturn,Jupiter,Rahu,Moon,,
Mars,,Ketu,Sun,Mercury,Venus,Saturn,Jupiter,Rahu,Moon,,
Mars,,Ketu,Sun Mercury,,Venus,Saturn,Jupiter,Rahu,,Moon,
Mars,,Ketu,Sun Mercury,,Venus,Saturn,Jupiter,Rahu,,Moon,
Mars,,Ketu,Sun Mercury,,Venus,Saturn,Jupiter,Rahu,,,Moon
Mars,,Ketu,Sun Mercury,,Venus,Saturn,Jupiter,Rahu,,,Moon
Moon Mars,,Ketu,Sun Mercury,,Venus,Saturn,Jupiter,Rahu,,,
Moon Mars,,Ketu,Sun Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,Moon,Ketu,Sun Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,Moon,Ketu,Sun Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,Moon,Ketu,Sun Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,,Moon Ketu,Sun Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,,Moon Ketu,Sun Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,,Moon Ketu,Sun Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,,Ketu,Sun Moon Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,,Ketu,Sun Moon Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,,Ketu,Sun Moon Mercury,,Venus,Jupiter Saturn,,Rahu,,,
Mars,,Ketu,Sun Mercury,Moon,Venus,Jupiter Saturn,,Rahu,,,
Mars,,Ketu,Sun Mercury,Moon,Venus,Jupiter Saturn,,Rahu,,,
Mars,,Ketu,Sun Mercury,,Moon Venus,Jupiter Saturn,,Rahu,,,
Mars,Ketu,,Sun Mercury,,Moon Venus,Jupiter Saturn,Rahu,,,,
Mars,Ketu,,Sun Mercury,,Moon Venus,Jupiter Saturn,Rahu,,,,
Mars,Ketu,,Sun Mercury,,Venus,Moon Jupiter Saturn,Rahu,,,,
Mars,Ketu,,Sun Mercury,,Venus,Moon Jupiter Saturn,Rahu,,,,
Mars,Ketu,,Sun Mercury,,Venus,Jupiter Saturn,Moon Rahu,,,,
Mars,Ketu,,Sun Mercury,,Venus,Jupiter Saturn,Moon Rahu,,,,
Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,Moon,,,
Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,Moon,,,
Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,Moon,,,
Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,,Moon,,
Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,,Moon,,
Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,,,Moon,
Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,,,Moon,
Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,,,,Moon
Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,,,,Moon
Moon Mars,Ketu,,Sun Mercury,Venus,,Jupiter Saturn,Rahu,,,,
Moon Mars,Ketu,,Sun Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Moon Mars,Ketu,,Sun Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Mars,Moon Ketu,,Sun Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Mars,Moon Ketu,,Sun Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Mars,Ketu,Moon,Sun Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Mars,Ketu,Moon,Sun Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Mars,Ketu,Moon,Sun Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Mars,Ketu,,Sun Moon Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Mars,Ketu,,Sun Moon Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Mars,Ketu,,Sun Moon Mercury,Venus,Saturn,Jupiter,Rahu,,,,
Mars,Ketu,,Sun Mercury,Moon Venus,Saturn,Jupiter,Rahu,,,,
Mars,Ketu,,Mercury,Sun Moon Venus,Saturn,Jupiter,Rahu,,,,
Mars,Ketu,,Mercury,Sun Venus,Moon Jupiter Saturn,,Rahu,,,,
Mars,Ketu,,Mercury,Sun Venus,Moon Jupiter Saturn,,Rahu,,,,
Mars,Ketu,,Mercury,Sun Venus,Moon Jupiter Saturn,,Rahu,,,,
Mars,Ketu,,Mercury Venus,Sun,Jupiter Saturn,Moon,Rahu,,,,
Mars,Ketu,,Mercury Venus,Sun,Jupiter Saturn,Moon,Rahu,,,,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,Moon,,,,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,Moon,,,,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,Moon,,,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,Moon,,,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,Moon,,,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,Moon,,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,Moon,,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,Moon,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,Moon,
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,Moon
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,Moon
Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,Moon
Moon Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,
Moon Mars Ketu,,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,
Mars Ketu,Moon,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,
Mars Ketu,Moon,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,
Ketu,Moon,,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,Mars
Ketu,,Moon,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,Mars
Ketu,,Moon,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,Mars
Ketu,,Moon,Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,Mars
Ketu,,,Moon Mercury Venus,Sun,Jupiter Saturn,Rahu,,,,,Mars
Ketu,,,Moon Venus,Sun Mercury Saturn,Jupiter,Rahu,,,,,Mars
Ketu,,Venus,,Sun Moon Mercury Saturn,Jupiter,Rahu,,,,,Mars
Ketu,,Venus,,Sun Moon Mercury Saturn,Jupiter,Rahu,,,,,Mars
Ketu,,Venus,,Sun Moon Mercury Saturn,Jupiter,Rahu,,,,,Mars
Ketu,,Venus,,Sun Mercury Saturn,Moon Jupiter,Rahu,,,,,Mars
Ketu,,Venus,,Sun Mercury Saturn,Moon Jupiter,Rahu,,,,,Mars
Ketu,,Venus,,Sun Mercury Saturn,Jupiter,Moon Rahu,,,,,Mars
Ketu,,Venus,,Sun Mercury Saturn,Jupiter,Moon Rahu,,,,,Mars
Ketu,,Venus,,Sun Mercury Saturn,Jupiter,Rahu,Moon,,,,Mars
,,Venus,,Sun Mercury Saturn,Jupiter Rahu,,Moon,,,,Mars Ketu
