House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Rahu,Jupiter,Mercury Saturn,Sun,Venus,,Ketu,Moon,,Mars,,
Rahu,Jupiter,Mercury Saturn,Sun,,Venus,Ketu,,Moon,Mars,,
Rahu,Jupiter,Mercury Saturn,Sun,,Venus,Ketu,,Moon,Mars,,
Rahu,Jupiter,Mercury Saturn,Sun,,Venus,Ketu,,,Moon Mars,,
Rahu,Jupiter,Mercury Saturn,Sun,,Venus,Ketu,,,Moon Mars,,
Rahu,Jupiter,Mercury Saturn,Sun,,Venus,Ketu,,,Mars,Moon,
Rahu,Jupiter,Mercury Saturn,Sun,,Venus,Ketu,,,Mars,Moon,
Rahu,Jupiter,Mercury Saturn,Sun,,Venus,Ketu,,,Mars,Moon,
Rahu,Jupiter,Mercury Saturn,Sun,,Venus,Ketu,,,Mars,,Moon
Rahu,Jupiter,Mercury Saturn,Sun,,Venus,Ketu,,,Mars,,Moon
,Jupiter Saturn,Mercury,Sun,,Venus Ketu,,,,Mars,,Moon Rahu
Moon,Jupiter Saturn,Mercury,Sun,,Venus Ketu,,,,Mars,,Rahu
Moon,Jupiter Saturn,Mercury,Sun,,Venus Ketu,,,,Mars,,Rahu
,Moon Jupiter Saturn,Mercury,Sun,,Venus Ketu,,,,Mars,,Rahu
,Moon Jupiter Saturn,Mercury,Sun,,Venus Ketu,,,,Mars,,Rahu
,Moon Jupiter Saturn,Mercury,Sun,,Venus Ketu,,,,Mars,,Rahu
,Jupiter Saturn,Moon Mercury,Sun,,Venus Ketu,,,,Mars,,Rahu
,Jupiter Saturn,Moon Mercury,Sun,,Venus Ketu,,,,Mars,,Rahu
,Jupiter Saturn,Mercury,Sun Moon,,Venus Ketu,,,,Mars,,Rahu
,Jupiter Saturn,Mercury,Sun Moon,,Venus Ketu,,,,Mars,,Rahu
,Jupiter Saturn,Mercury,Sun Moon,,Venus Ketu,,,,Mars,,Rahu
,Jupiter Saturn,Mercury,Sun,Moon,Venus Ketu,,,,Mars,,Rahu
Jupiter,Saturn,Mercury,Sun,Moon,Venus Ketu,,,,Mars,,Rahu
Jupiter,Saturn,Mercury,Sun,,Moon Venus Ketu,,,,Mars,,Rahu
Jupiter,Saturn,Mercury,Sun,,Moon Venus Ketu,,,,Mars,,Rahu
Jupiter,Saturn,Mercury,Sun,,Venus Ketu,Moon,,Mars,,,Rahu
Jupiter,Saturn,Mercury,Sun,,Venus Ketu,Moon,,Mars,,,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,Moon,Mars,,,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,Moon,Mars,,,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,Moon,Mars,,,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Moon Mars,,,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Moon Mars,,,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,Moon,,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,Moon,,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,Moon,,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,,Moon,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,,Moon,Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,,,Moon Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,,,Moon Rahu
Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,,,Moon Rahu
Moon Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,,,Rahu
Moon Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,,,Rahu
Moon Jupiter,Saturn,,Sun Mercury,,Venus Ketu,,,Mars,,,Rahu
Jupiter,Moon Saturn,,Sun Mercury,Ketu,Venus,,,Mars,,Rahu,
Jupiter,Moon Saturn,,Sun Mercury,Ketu,Venus,,,Mars,,Rahu,
Jupiter,Saturn,Moon,Sun Mercury,Ketu,Venus,,,Mars,,Rahu,
Jupiter,Saturn,Moon,Sun Mercury,Ketu,Venus,,,Mars,,Rahu,
Jupiter,Saturn,Moon,Sun Mercury,Ketu,Venus,,,Mars,,Rahu,
Jupiter Saturn,,,Sun Moon Mercury,Ketu,Venus,,,Mars,,Rahu,
Jupiter Saturn,,,Sun Moon Mercury,Ketu,Venus,,,Mars,,Rahu,
Jupiter Saturn,,,Sun Mercury,Moon Ketu,Venus,,,Mars,,Rahu,
Jupiter Saturn,,,Sun Mercury,Moon Ketu,Venus,,,Mars,,Rahu,
Jupiter Saturn,,,Sun Mercury,Ketu,Moon Venus,,,Mars,,Rahu,
Jupiter Saturn,,,Sun Mercury,Ketu,Moon Venus,,,Mars,,Rahu,
Jupiter Saturn,,,Sun Mercury,Ketu,Venus,Moon,,Mars,,Rahu,
Jupiter Saturn,,,Sun Mercury,Ketu,Venus,Moon,,Mars,,Rahu,
Jupiter Saturn,,,Sun Mercury,Ketu,Venus,,Moon Mars,,,Rahu,
Jupiter Saturn,,,Sun Mercury,Ketu,Venus,,Moon Mars,,,Rahu,
Jupiter Saturn,,,Sun Mercury,Ketu,Venus,,Moon Mars,,,Rahu,
Saturn,,,Sun Mercury,Ketu,Venus,,Mars,Moon,,Rahu,Jupiter
Saturn,,,Sun Mercury,Ketu,Venus,,Mars,Moon,,Rahu,Jupiter
Saturn,,,Sun Mercury,Ketu,Venus,,Mars,,Moon,Rahu,Jupiter
Saturn,,,Sun Mercury,Ketu,Venus,,Mars,,Moon,Rahu,Jupiter
Saturn,,,Sun,Mercury Ketu,Venus,,Mars,,Moon,Rahu,Jupiter
Saturn,,,Sun,Mercury Ketu,Venus,,Mars,,,Moon Rahu,Jupiter
Saturn,,,Sun,Mercury Ketu,Venus,,Mars,,,Moon Rahu,Jupiter
Saturn,,,Sun,Mercury Ketu,Venus,,Mars,,,Moon Rahu,Jupiter
